t,area,hsv_class,hsv_conf,yolo_class,yolo_conf,fused_class,fused_conf,agree
0.0,110245,bare_soil,0.692,healthy_crop,0.492,bare_soil,0.407,0
0.0,55019,healthy_crop,0.555,bare_soil,0.686,healthy_crop,0.36,0
0.0,21637,healthy_crop,0.616,stressed_crop,0.598,healthy_crop,0.616,0
0.0,13934,bare_soil,0.626,stressed_crop,0.857,stressed_crop,0.486,0
0.0,12370,bare_soil,0.596,bare_soil,0.84,bare_soil,0.882,1
0.0,11149,bare_soil,0.619,bare_soil,0.911,bare_soil,0.956,1
0.0,11100,bare_soil,0.634,stressed_crop,0.988,stressed_crop,0.988,0
0.0,7290,bare_soil,0.628,stressed_crop,0.946,stressed_crop,0.946,0
0.0,7227,bare_soil,0.65,healthy_crop,0.952,healthy_crop,0.952,0
0.0,6514,healthy_crop,0.468,healthy_crop,0.994,healthy_crop,1.0,1
0.0,5522,healthy_crop,0.527,healthy_crop,0.977,healthy_crop,1.0,1
0.0,5328,bare_soil,0.635,stressed_crop,0.982,stressed_crop,0.982,0
0.0,5090,bare_soil,0.642,stressed_crop,0.918,stressed_crop,0.918,0
0.0,5024,bare_soil,0.685,healthy_crop,0.531,bare_soil,0.381,0
0.0,4723,healthy_crop,0.561,stressed_crop,0.865,healthy_crop,0.561,0
0.0,4665,bare_soil,0.651,stressed_crop,0.918,stressed_crop,0.918,0
0.0,4658,bare_soil,0.53,stressed_crop,0.688,stressed_crop,0.407,0
0.0,4237,bare_soil,0.567,stressed_crop,0.732,stressed_crop,0.424,0
0.0,4118,bare_soil,0.495,bare_soil,0.495,bare_soil,0.495,1
0.0,4017,bare_soil,0.669,stressed_crop,0.644,bare_soil,0.36,0
0.0,3450,bare_soil,0.682,stressed_crop,0.85,stressed_crop,0.466,0
0.0,3394,bare_soil,0.619,stressed_crop,0.901,stressed_crop,0.901,0
0.0,3393,healthy_crop,0.481,healthy_crop,0.588,healthy_crop,0.617,1
0.0,3362,healthy_crop,0.601,stressed_crop,0.873,healthy_crop,0.601,0
0.0,3101,healthy_crop,0.504,disease_stress_vegetation,0.599,healthy_crop,0.504,0
0.0,3029,stressed_crop,0.539,stressed_crop,0.978,stressed_crop,1.0,1
0.0,2799,healthy_crop,0.511,stressed_crop,0.988,healthy_crop,0.511,0
