t,area,hsv_class,hsv_conf,yolo_class,yolo_conf,fused_class,fused_conf,agree
0.0,74335,bare_soil,0.682,bare_soil,0.682,bare_soil,0.682,1
0.0,55449,healthy_crop,0.549,healthy_crop,0.549,healthy_crop,0.549,1
0.0,21653,healthy_crop,0.616,healthy_crop,0.616,healthy_crop,0.616,1
0.0,9669,bare_soil,0.689,bare_soil,0.689,bare_soil,0.689,1
0.0,6544,healthy_crop,0.461,healthy_crop,0.461,healthy_crop,0.461,1
0.0,5530,healthy_crop,0.523,healthy_crop,0.523,healthy_crop,0.523,1
0.0,5332,bare_soil,0.496,bare_soil,0.496,bare_soil,0.496,1
0.0,4795,healthy_crop,0.556,healthy_crop,0.556,healthy_crop,0.556,1
0.0,3423,healthy_crop,0.473,healthy_crop,0.473,healthy_crop,0.473,1
0.0,3362,healthy_crop,0.601,healthy_crop,0.601,healthy_crop,0.601,1
0.0,3103,healthy_crop,0.504,healthy_crop,0.504,healthy_crop,0.504,1
0.0,3025,stressed_crop,0.532,stressed_crop,0.532,stressed_crop,0.532,1
0.0,2831,healthy_crop,0.497,healthy_crop,0.497,healthy_crop,0.497,1
0.0,2716,healthy_crop,0.536,healthy_crop,0.536,healthy_crop,0.536,1
0.0,2609,healthy_crop,0.586,healthy_crop,0.586,healthy_crop,0.586,1
0.0,2464,bare_soil,0.5,bare_soil,0.5,bare_soil,0.5,1
0.0,2351,bare_soil,0.472,bare_soil,0.472,bare_soil,0.472,1
0.0,2182,healthy_crop,0.515,healthy_crop,0.515,healthy_crop,0.515,1
0.0,1863,bare_soil,0.447,bare_soil,0.447,bare_soil,0.447,1
0.0,1809,bare_soil,0.608,bare_soil,0.608,bare_soil,0.608,1
0.0,1784,bare_soil,0.44,bare_soil,0.44,bare_soil,0.44,1
0.0,1766,healthy_crop,0.471,healthy_crop,0.471,healthy_crop,0.471,1
0.0,1760,bare_soil,0.462,bare_soil,0.462,bare_soil,0.462,1
0.0,1724,healthy_crop,0.445,healthy_crop,0.445,healthy_crop,0.445,1
0.0,1716,bare_soil,0.658,bare_soil,0.658,bare_soil,0.658,1
0.0,1669,healthy_crop,0.479,healthy_crop,0.479,healthy_crop,0.479,1
0.0,1638,stressed_crop,0.513,stressed_crop,0.513,stressed_crop,0.513,1
0.0,1619,bare_soil,0.462,bare_soil,0.462,bare_soil,0.462,1
0.0,1614,healthy_crop,0.479,healthy_crop,0.479,healthy_crop,0.479,1
0.0,1598,bare_soil,0.46,bare_soil,0.46,bare_soil,0.46,1
0.0,1588,bare_soil,0.474,bare_soil,0.474,bare_soil,0.474,1
0.0,1570,bare_soil,0.605,bare_soil,0.605,bare_soil,0.605,1
0.0,1484,bare_soil,0.461,bare_soil,0.461,bare_soil,0.461,1
0.0,1441,bare_soil,0.462,bare_soil,0.462,bare_soil,0.462,1
0.0,1404,bare_soil,0.467,bare_soil,0.467,bare_soil,0.467,1
0.5,67086,bare_soil,0.694,bare_soil,0.694,bare_soil,0.694,1
0.5,35494,healthy_crop,0.539,healthy_crop,0.539,healthy_crop,0.539,1
0.5,13895,bare_soil,0.7,bare_soil,0.7,bare_soil,0.7,1
0.5,11707,healthy_crop,0.485,healthy_crop,0.485,healthy_crop,0.485,1
0.5,10117,bare_soil,0.698,bare_soil,0.698,bare_soil,0.698,1
0.5,7915,healthy_crop,0.636,healthy_crop,0.636,healthy_crop,0.636,1
0.5,7788,healthy_crop,0.522,healthy_crop,0.522,healthy_crop,0.522,1
0.5,7060,healthy_crop,0.601,healthy_crop,0.601,healthy_crop,0.601,1
0.5,5415,bare_soil,0.5,bare_soil,0.5,bare_soil,0.5,1
