t,frame,class,conf,area,source,fhi
0.03,1,Lush Green,1.0,18118,onnx,92.9
0.03,1,Drought / Severe Stress,0.887,6167,hsv,92.9
0.03,1,Lush Green,0.815,55681,onnx,92.9
0.03,1,Lush Green,0.55,4162,hsv,92.9
0.03,1,Bare Soil / Gap,0.55,6858,hsv,92.9
0.03,1,Inconsistent Growth,0.55,4965,hsv,92.9
0.1,3,Lush Green,1.0,18159,onnx,92.2
0.1,3,Drought / Severe Stress,0.881,4675,hsv,92.2
0.1,3,Drought / Severe Stress,0.859,4661,hsv,92.2
0.1,3,Bare Soil / Gap,0.745,10012,onnx,92.2
0.1,3,Lush Green,0.693,56170,onnx,92.2
0.1,3,Inconsistent Growth,0.55,4313,hsv,92.2
0.2,6,Lush Green,1.0,13692,onnx,93.1
0.2,6,Bare Soil / Gap,0.932,5427,onnx,93.1
0.2,6,Drought / Severe Stress,0.926,4798,hsv,93.1
0.2,6,Lush Green,0.837,48908,onnx,93.1
0.2,6,Drought / Severe Stress,0.826,4804,hsv,93.1
0.2,6,Lush Green,0.739,56129,onnx,93.1
0.2,6,Lush Green,0.55,4487,hsv,93.1
0.3,9,Lush Green,1.0,18212,onnx,95.5
0.3,9,Lush Green,0.793,49787,onnx,95.5
0.3,9,Lush Green,0.611,57543,hsv,95.5
0.3,9,Bare Soil / Gap,0.564,5291,hsv,95.5
0.3,9,Lush Green,0.55,4517,hsv,95.5
0.4,12,Lush Green,1.0,18709,onnx,97.1
0.4,12,Lush Green,0.843,58226,onnx,97.1
0.4,12,Bare Soil / Gap,0.696,9941,onnx,97.1
0.4,12,Lush Green,0.686,50528,onnx,97.1
0.4,12,Lush Green,0.55,4332,hsv,97.1
0.5,15,Lush Green,1.0,19587,onnx,98.1
0.5,15,Lush Green,0.848,47236,onnx,98.1
0.5,15,Lush Green,0.801,59833,onnx,98.1
0.5,15,Bare Soil / Gap,0.742,11501,onnx,98.1
0.5,15,Bare Soil / Gap,0.668,4168,hsv,98.1
0.6,18,Lush Green,1.0,19587,onnx,98.0
0.6,18,Bare Soil / Gap,0.992,5071,onnx,98.0
0.6,18,Drought / Severe Stress,0.869,4213,hsv,98.0
0.6,18,Bare Soil / Gap,0.865,7426,onnx,98.0
0.6,18,Lush Green,0.76,62754,hsv,98.0
0.6,18,Lush Green,0.749,49528,onnx,98.0
0.7,21,Lush Green,1.0,19660,onnx,97.0
0.7,21,Bare Soil / Gap,0.998,5500,onnx,97.0
0.7,21,Drought / Severe Stress,0.81,4176,hsv,97.0
0.7,21,Lush Green,0.608,64089,hsv,97.0
0.7,21,Bare Soil / Gap,0.55,8087,hsv,97.0
0.7,21,Inconsistent Growth,0.55,4943,hsv,97.0
0.8,24,Lush Green,1.0,19463,onnx,96.5
0.8,24,Bare Soil / Gap,0.949,4832,onnx,96.5
0.8,24,Lush Green,0.797,67691,hsv,96.5
0.8,24,Drought / Severe Stress,0.664,5779,hsv,96.5
0.9,27,Lush Green,1.0,19363,onnx,96.3
0.9,27,Bare Soil / Gap,0.943,5592,onnx,96.3
