t,area,hsv_class,hsv_conf,yolo_class,yolo_conf,fused_class,fused_conf,agree
0.0,93611,healthy_crop,0.642,healthy_crop,0.642,healthy_crop,0.642,1
0.0,81104,healthy_crop,0.642,healthy_crop,0.642,healthy_crop,0.642,1
0.0,20619,drought_stress,0.549,drought_stress,0.549,drought_stress,0.549,1
0.0,16694,healthy_crop,0.609,healthy_crop,0.609,healthy_crop,0.609,1
0.0,9866,bare_soil,0.7,bare_soil,0.7,bare_soil,0.7,1
0.0,6102,healthy_crop,0.594,healthy_crop,0.594,healthy_crop,0.594,1
0.0,5764,drought_stress,0.533,drought_stress,0.533,drought_stress,0.533,1
0.0,5201,healthy_crop,0.667,healthy_crop,0.667,healthy_crop,0.667,1
0.0,5047,bare_soil,0.715,bare_soil,0.715,bare_soil,0.715,1
0.0,4798,bare_soil,0.703,bare_soil,0.703,bare_soil,0.703,1
0.0,4178,healthy_crop,0.604,healthy_crop,0.604,healthy_crop,0.604,1
0.0,3763,healthy_crop,0.648,healthy_crop,0.648,healthy_crop,0.648,1
0.0,3558,stressed_crop,0.474,stressed_crop,0.474,stressed_crop,0.474,1
0.0,3552,drought_stress,0.522,drought_stress,0.522,drought_stress,0.522,1
0.0,3497,drought_stress,0.51,drought_stress,0.51,drought_stress,0.51,1
0.0,3463,bare_soil,0.686,bare_soil,0.686,bare_soil,0.686,1
0.0,2671,healthy_crop,0.641,healthy_crop,0.641,healthy_crop,0.641,1
0.0,2174,stressed_crop,0.434,stressed_crop,0.434,stressed_crop,0.434,1
0.0,2092,stressed_crop,0.53,stressed_crop,0.53,stressed_crop,0.53,1
0.0,2081,stressed_crop,0.518,stressed_crop,0.518,stressed_crop,0.518,1
0.0,2063,stressed_crop,0.442,stressed_crop,0.442,stressed_crop,0.442,1
0.0,1984,healthy_crop,0.58,healthy_crop,0.58,healthy_crop,0.58,1
0.0,1960,stressed_crop,0.506,stressed_crop,0.506,stressed_crop,0.506,1
0.0,1932,stressed_crop,0.532,stressed_crop,0.532,stressed_crop,0.532,1
0.0,1708,stressed_crop,0.428,stressed_crop,0.428,stressed_crop,0.428,1
0.0,1688,drought_stress,0.506,drought_stress,0.506,drought_stress,0.506,1
0.0,1645,bare_soil,0.698,bare_soil,0.698,bare_soil,0.698,1
0.0,1554,healthy_crop,0.584,healthy_crop,0.584,healthy_crop,0.584,1
0.0,1415,healthy_crop,0.585,healthy_crop,0.585,healthy_crop,0.585,1
0.0,1408,drought_stress,0.501,drought_stress,0.501,drought_stress,0.501,1
0.1,93942,healthy_crop,0.642,healthy_crop,0.642,healthy_crop,0.642,1
0.1,80785,healthy_crop,0.641,healthy_crop,0.641,healthy_crop,0.641,1
0.1,20430,drought_stress,0.55,drought_stress,0.55,drought_stress,0.55,1
0.1,15386,bare_soil,0.705,bare_soil,0.705,bare_soil,0.705,1
0.1,14842,healthy_crop,0.611,healthy_crop,0.611,healthy_crop,0.611,1
0.1,7144,healthy_crop,0.596,healthy_crop,0.596,healthy_crop,0.596,1
0.1,5849,drought_stress,0.532,drought_stress,0.532,drought_stress,0.532,1
0.1,5717,stressed_crop,0.472,stressed_crop,0.472,stressed_crop,0.472,1
0.1,5385,healthy_crop,0.663,healthy_crop,0.663,healthy_crop,0.663,1
0.1,4118,healthy_crop,0.609,healthy_crop,0.609,healthy_crop,0.609,1
0.1,4015,bare_soil,0.7,bare_soil,0.7,bare_soil,0.7,1
0.1,3890,healthy_crop,0.652,healthy_crop,0.652,healthy_crop,0.652,1
0.1,3717,drought_stress,0.525,drought_stress,0.525,drought_stress,0.525,1
0.1,3353,bare_soil,0.674,bare_soil,0.674,bare_soil,0.674,1
0.1,3320,drought_stress,0.508,drought_stress,0.508,drought_stress,0.508,1
0.1,2618,healthy_crop,0.643,healthy_crop,0.643,healthy_crop,0.643,1
0.1,2583,bare_soil,0.702,bare_soil,0.702,bare_soil,0.702,1
0.1,2012,stressed_crop,0.529,stressed_crop,0.529,stressed_crop,0.529,1
0.1,2009,stressed_crop,0.519,stressed_crop,0.519,stressed_crop,0.519,1
0.1,1974,bare_soil,0.693,bare_soil,0.693,bare_soil,0.693,1
0.1,1961,stressed_crop,0.437,stressed_crop,0.437,stressed_crop,0.437,1
0.1,1956,stressed_crop,0.529,stressed_crop,0.529,stressed_crop,0.529,1
0.1,1845,stressed_crop,0.498,stressed_crop,0.498,stressed_crop,0.498,1
0.1,1843,healthy_crop,0.578,healthy_crop,0.578,healthy_crop,0.578,1
0.1,1754,drought_stress,0.51,drought_stress,0.51,drought_stress,0.51,1
0.1,1594,stressed_crop,0.521,stressed_crop,0.521,stressed_crop,0.521,1
0.1,1584,healthy_crop,0.587,healthy_crop,0.587,healthy_crop,0.587,1
0.1,1539,stressed_crop,0.441,stressed_crop,0.441,stressed_crop,0.441,1
0.1,1447,stressed_crop,0.428,stressed_crop,0.428,stressed_crop,0.428,1
0.1,1418,drought_stress,0.499,drought_stress,0.499,drought_stress,0.499,1
0.1,1393,bare_soil,0.671,bare_soil,0.671,bare_soil,0.671,1
0.2,94693,healthy_crop,0.642,healthy_crop,0.642,healthy_crop,0.642,1
0.2,81136,healthy_crop,0.641,healthy_crop,0.641,healthy_crop,0.641,1
0.2,21177,bare_soil,0.705,bare_soil,0.705,bare_soil,0.705,1
0.2,20163,drought_stress,0.55,drought_stress,0.55,drought_stress,0.55,1
0.2,8339,healthy_crop,0.591,healthy_crop,0.591,healthy_crop,0.591,1
0.2,7471,healthy_crop,0.594,healthy_crop,0.594,healthy_crop,0.594,1
0.2,7055,healthy_crop,0.627,healthy_crop,0.627,healthy_crop,0.627,1
0.2,6381,healthy_crop,0.666,healthy_crop,0.666,healthy_crop,0.666,1
0.2,5976,drought_stress,0.53,drought_stress,0.53,drought_stress,0.53,1
0.2,5253,stressed_crop,0.469,stressed_crop,0.469,stressed_crop,0.469,1
0.2,4503,drought_stress,0.521,drought_stress,0.521,drought_stress,0.521,1
0.2,4045,healthy_crop,0.607,healthy_crop,0.607,healthy_crop,0.607,1
0.2,3821,bare_soil,0.708,bare_soil,0.708,bare_soil,0.708,1
0.2,3782,healthy_crop,0.664,healthy_crop,0.664,healthy_crop,0.664,1
0.2,3440,bare_soil,0.68,bare_soil,0.68,bare_soil,0.68,1
0.2,3301,drought_stress,0.505,drought_stress,0.505,drought_stress,0.505,1
0.2,3181,stressed_crop,0.444,stressed_crop,0.444,stressed_crop,0.444,1
0.2,2640,stressed_crop,0.523,stressed_crop,0.523,stressed_crop,0.523,1
0.2,2608,healthy_crop,0.644,healthy_crop,0.644,healthy_crop,0.644,1
0.2,2482,bare_soil,0.704,bare_soil,0.704,bare_soil,0.704,1
0.2,2083,stressed_crop,0.521,stressed_crop,0.521,stressed_crop,0.521,1
0.2,1972,stressed_crop,0.428,stressed_crop,0.428,stressed_crop,0.428,1
0.2,1747,stressed_crop,0.529,stressed_crop,0.529,stressed_crop,0.529,1
0.2,1710,drought_stress,0.508,drought_stress,0.508,drought_stress,0.508,1
0.2,1669,stressed_crop,0.521,stressed_crop,0.521,stressed_crop,0.521,1
0.2,1634,stressed_crop,0.433,stressed_crop,0.433,stressed_crop,0.433,1
0.2,1621,healthy_crop,0.588,healthy_crop,0.588,healthy_crop,0.588,1
0.2,1528,stressed_crop,0.428,stressed_crop,0.428,stressed_crop,0.428,1
0.2,1413,healthy_crop,0.635,healthy_crop,0.635,healthy_crop,0.635,1
0.2,1394,stressed_crop,0.483,stressed_crop,0.483,stressed_crop,0.483,1
0.2,1388,healthy_crop,0.579,healthy_crop,0.579,healthy_crop,0.579,1
0.3,96208,healthy_crop,0.642,healthy_crop,0.642,healthy_crop,0.642,1
0.3,82510,healthy_crop,0.641,healthy_crop,0.641,healthy_crop,0.641,1
0.3,19991,drought_stress,0.549,drought_stress,0.549,drought_stress,0.549,1
0.3,19450,bare_soil,0.705,bare_soil,0.705,bare_soil,0.705,1
0.3,7426,healthy_crop,0.596,healthy_crop,0.596,healthy_crop,0.596,1
0.3,7279,healthy_crop,0.633,healthy_crop,0.633,healthy_crop,0.633,1
0.3,7000,drought_stress,0.527,drought_stress,0.527,drought_stress,0.527,1
0.3,6239,healthy_crop,0.598,healthy_crop,0.598,healthy_crop,0.598,1
0.3,5955,healthy_crop,0.666,healthy_crop,0.666,healthy_crop,0.666,1
0.3,5591,stressed_crop,0.478,stressed_crop,0.478,stressed_crop,0.478,1
0.3,4923,drought_stress,0.519,drought_stress,0.519,drought_stress,0.519,1
0.3,4407,healthy_crop,0.673,healthy_crop,0.673,healthy_crop,0.673,1
0.3,3962,bare_soil,0.675,bare_soil,0.675,bare_soil,0.675,1
0.3,3849,healthy_crop,0.606,healthy_crop,0.606,healthy_crop,0.606,1
0.3,3696,bare_soil,0.708,bare_soil,0.708,bare_soil,0.708,1
0.3,3244,drought_stress,0.505,drought_stress,0.505,drought_stress,0.505,1
0.3,2547,healthy_crop,0.64,healthy_crop,0.64,healthy_crop,0.64,1
0.3,2472,bare_soil,0.695,bare_soil,0.695,bare_soil,0.695,1
0.3,2137,stressed_crop,0.525,stressed_crop,0.525,stressed_crop,0.525,1
0.3,2123,stressed_crop,0.523,stressed_crop,0.523,stressed_crop,0.523,1
0.3,1900,stressed_crop,0.441,stressed_crop,0.441,stressed_crop,0.441,1
0.3,1749,drought_stress,0.509,drought_stress,0.509,drought_stress,0.509,1
0.3,1617,stressed_crop,0.536,stressed_crop,0.536,stressed_crop,0.536,1
0.3,1593,stressed_crop,0.484,stressed_crop,0.484,stressed_crop,0.484,1
0.3,1569,bare_soil,0.69,bare_soil,0.69,bare_soil,0.69,1
0.3,1516,healthy_crop,0.628,healthy_crop,0.628,healthy_crop,0.628,1
0.3,1508,stressed_crop,0.424,stressed_crop,0.424,stressed_crop,0.424,1
