t,area,hsv_class,hsv_conf,yolo_class,yolo_conf,fused_class,fused_conf,agree
0.0,74335,bare_soil,0.682,healthy_crop,0.692,healthy_crop,0.372,0
0.0,55449,healthy_crop,0.549,bare_soil,0.686,healthy_crop,0.355,0
0.0,21653,healthy_crop,0.616,stressed_crop,0.598,healthy_crop,0.616,0
0.0,9669,bare_soil,0.689,stressed_crop,0.59,bare_soil,0.391,0
0.0,6544,healthy_crop,0.461,healthy_crop,0.994,healthy_crop,1.0,1
0.0,5530,healthy_crop,0.523,healthy_crop,0.977,healthy_crop,1.0,1
0.0,5332,bare_soil,0.496,bare_soil,0.496,bare_soil,0.496,1
0.0,4795,healthy_crop,0.556,stressed_crop,0.918,healthy_crop,0.556,0
0.0,3423,healthy_crop,0.473,healthy_crop,0.588,healthy_crop,0.617,1
0.0,3362,healthy_crop,0.601,stressed_crop,0.873,healthy_crop,0.601,0
0.0,3103,healthy_crop,0.504,disease_stress_vegetation,0.599,healthy_crop,0.504,0
0.0,3025,stressed_crop,0.532,stressed_crop,0.98,stressed_crop,1.0,1
0.0,2831,healthy_crop,0.497,stressed_crop,0.993,healthy_crop,0.497,0
0.0,2716,healthy_crop,0.536,stressed_crop,0.435,healthy_crop,0.536,0
0.0,2609,healthy_crop,0.586,stressed_crop,0.804,healthy_crop,0.586,0
0.0,2464,bare_soil,0.5,healthy_crop,0.791,healthy_crop,0.791,0
0.0,2351,bare_soil,0.472,healthy_crop,0.508,healthy_crop,0.314,0
0.0,2182,healthy_crop,0.515,healthy_crop,0.498,healthy_crop,0.541,1
0.0,1863,bare_soil,0.447,bare_soil,0.447,bare_soil,0.447,1
0.0,1809,bare_soil,0.608,stressed_crop,0.435,bare_soil,0.384,0
0.0,1784,bare_soil,0.44,healthy_crop,0.703,healthy_crop,0.703,0
0.0,1766,healthy_crop,0.471,healthy_crop,0.471,healthy_crop,0.471,1
0.0,1760,bare_soil,0.462,bare_soil,0.462,bare_soil,0.462,1
0.0,1724,healthy_crop,0.445,healthy_crop,0.996,healthy_crop,1.0,1
0.0,1716,bare_soil,0.658,bare_soil,0.658,bare_soil,0.658,1
0.0,1669,healthy_crop,0.479,healthy_crop,0.479,healthy_crop,0.479,1
0.0,1638,stressed_crop,0.513,stressed_crop,0.64,stressed_crop,0.672,1
0.0,1619,bare_soil,0.462,bare_soil,0.462,bare_soil,0.462,1
0.0,1614,healthy_crop,0.479,stressed_crop,0.799,healthy_crop,0.479,0
0.0,1598,bare_soil,0.46,bare_soil,0.46,bare_soil,0.46,1
0.0,1588,bare_soil,0.474,bare_soil,0.474,bare_soil,0.474,1
0.0,1570,bare_soil,0.605,disease_stress_vegetation,0.498,bare_soil,0.337,0
0.0,1484,bare_soil,0.461,bare_soil,0.461,bare_soil,0.461,1
0.0,1441,bare_soil,0.462,healthy_crop,0.506,healthy_crop,0.315,0
0.0,1404,bare_soil,0.467,healthy_crop,0.437,healthy_crop,0.275,0
0.1,69054,bare_soil,0.688,disease_stress_vegetation,0.562,bare_soil,0.383,0
0.1,53253,healthy_crop,0.545,bare_soil,0.893,bare_soil,0.893,0
0.1,22184,healthy_crop,0.616,stressed_crop,0.864,healthy_crop,0.616,0
0.1,9365,bare_soil,0.689,stressed_crop,0.811,stressed_crop,0.441,0
0.1,8813,healthy_crop,0.474,healthy_crop,0.988,healthy_crop,1.0,1
0.1,8363,healthy_crop,0.518,stressed_crop,0.87,healthy_crop,0.518,0
0.1,5889,bare_soil,0.499,bare_soil,0.499,bare_soil,0.499,1
0.1,5300,healthy_crop,0.521,healthy_crop,0.985,healthy_crop,1.0,1
0.1,3294,healthy_crop,0.487,stressed_crop,0.995,healthy_crop,0.487,0
0.1,3272,healthy_crop,0.603,stressed_crop,0.833,healthy_crop,0.603,0
0.1,2891,stressed_crop,0.532,stressed_crop,0.918,stressed_crop,0.964,1
0.1,2843,healthy_crop,0.508,disease_stress_vegetation,0.515,healthy_crop,0.508,0
0.1,2564,healthy_crop,0.524,disease_stress_vegetation,0.472,healthy_crop,0.524,0
0.1,2544,bare_soil,0.5,healthy_crop,0.792,healthy_crop,0.792,0
0.1,2472,healthy_crop,0.581,stressed_crop,0.8,healthy_crop,0.581,0
0.1,2347,bare_soil,0.472,healthy_crop,0.669,healthy_crop,0.41,0
0.1,2332,healthy_crop,0.517,disease_stress_vegetation,0.569,healthy_crop,0.517,0
0.1,2023,bare_soil,0.467,bare_soil,0.467,bare_soil,0.467,1
0.1,1897,bare_soil,0.454,bare_soil,0.454,bare_soil,0.454,1
0.1,1794,bare_soil,0.663,healthy_crop,0.707,healthy_crop,0.385,0
0.1,1775,healthy_crop,0.468,healthy_crop,0.468,healthy_crop,0.468,1
0.1,1757,healthy_crop,0.445,healthy_crop,0.991,healthy_crop,1.0,1
0.1,1754,bare_soil,0.627,stressed_crop,0.669,stressed_crop,0.371,0
0.1,1683,bare_soil,0.622,stressed_crop,0.873,stressed_crop,0.873,0
0.1,1629,bare_soil,0.443,bare_soil,0.443,bare_soil,0.443,1
0.1,1602,bare_soil,0.481,bare_soil,0.481,bare_soil,0.481,1
0.1,1596,bare_soil,0.457,bare_soil,0.457,bare_soil,0.457,1
0.1,1594,bare_soil,0.464,stressed_crop,0.425,stressed_crop,0.269,0
0.1,1566,bare_soil,0.473,healthy_crop,0.627,healthy_crop,0.385,0
0.1,1448,stressed_crop,0.512,stressed_crop,0.773,stressed_crop,0.812,1
0.1,1415,bare_soil,0.469,bare_soil,0.469,bare_soil,0.469,1
0.1,1408,bare_soil,0.48,bare_soil,0.48,bare_soil,0.48,1
0.2,59175,bare_soil,0.687,healthy_crop,0.562,bare_soil,0.39,0
0.2,39262,healthy_crop,0.546,bare_soil,0.517,healthy_crop,0.36,0
0.2,11967,healthy_crop,0.488,healthy_crop,0.999,healthy_crop,1.0,1
0.2,11134,bare_soil,0.693,stressed_crop,0.954,stressed_crop,0.954,0
0.2,10148,healthy_crop,0.647,stressed_crop,0.469,healthy_crop,0.647,0
0.2,10090,bare_soil,0.695,healthy_crop,0.913,healthy_crop,0.502,0
0.2,8549,healthy_crop,0.602,stressed_crop,0.77,healthy_crop,0.602,0
0.2,8439,healthy_crop,0.516,stressed_crop,0.871,healthy_crop,0.516,0
0.2,7926,healthy_crop,0.533,healthy_crop,0.576,healthy_crop,0.605,1
