t,area,hsv_class,hsv_conf,yolo_class,yolo_conf,fused_class,fused_conf,agree
0.0,247191,healthy_crop,0.819,healthy_crop,0.75,healthy_crop,0.86,1
0.0,21777,healthy_crop,0.706,drought_stress,0.479,healthy_crop,0.539,0
0.0,20616,healthy_crop,0.721,healthy_crop,0.493,healthy_crop,0.757,1
0.0,3300,healthy_crop,0.771,disease_stress_vegetation,0.444,healthy_crop,0.771,0
0.0,3297,healthy_crop,0.716,stressed_crop,0.497,healthy_crop,0.716,0
0.0,2842,bare_soil,0.405,disease_stress_vegetation,0.671,disease_stress_vegetation,0.671,0
0.0,2741,stressed_crop,0.512,disease_stress_vegetation,0.883,stressed_crop,0.512,0
0.0,2685,bare_soil,0.487,disease_stress_vegetation,0.916,disease_stress_vegetation,0.916,0
0.0,2194,bare_soil,0.405,disease_stress_vegetation,0.903,disease_stress_vegetation,0.903,0
0.0,2117,bare_soil,0.5,healthy_crop,0.82,healthy_crop,0.82,0
0.0,2113,bare_soil,0.446,disease_stress_vegetation,0.997,disease_stress_vegetation,0.997,0
0.0,2055,bare_soil,0.347,disease_stress_vegetation,0.836,disease_stress_vegetation,0.836,0
0.0,2033,healthy_crop,0.628,bare_soil,0.608,healthy_crop,0.413,0
0.0,1922,healthy_crop,0.641,stressed_crop,0.857,healthy_crop,0.641,0
0.0,1809,bare_soil,0.449,disease_stress_vegetation,0.994,disease_stress_vegetation,0.994,0
0.0,1808,bare_soil,0.338,bare_soil,0.338,bare_soil,0.338,1
0.0,1622,bare_soil,0.417,bare_soil,0.417,bare_soil,0.417,1
0.0,1508,bare_soil,0.443,bare_soil,0.443,bare_soil,0.443,1
0.2,285771,healthy_crop,0.793,healthy_crop,0.927,healthy_crop,0.973,1
0.2,13580,healthy_crop,0.694,disease_stress_vegetation,0.47,healthy_crop,0.694,0
0.2,6099,healthy_crop,0.807,disease_stress_vegetation,0.599,healthy_crop,0.807,0
0.2,3283,healthy_crop,0.767,stressed_crop,0.527,healthy_crop,0.767,0
0.2,3004,bare_soil,0.427,disease_stress_vegetation,0.732,disease_stress_vegetation,0.732,0
0.2,2585,stressed_crop,0.513,disease_stress_vegetation,0.714,stressed_crop,0.513,0
0.2,2215,bare_soil,0.5,healthy_crop,0.723,healthy_crop,0.436,0
0.2,2146,bare_soil,0.362,disease_stress_vegetation,0.554,disease_stress_vegetation,0.368,0
