t,frame,class,conf,area,source,fhi
0.03,1,Drought / Severe Stress,0.461,10349,hsv-fallback,89.0
0.03,1,Drought / Severe Stress,0.455,3415,hsv-fallback,89.0
0.03,1,Lush Green,0.44,110948,hsv-fallback,89.0
0.03,1,Bare Soil / Gap,0.44,44432,hsv-fallback,89.0
0.03,1,Lush Green,0.41,14719,hsv-fallback,89.0
0.03,1,Inconsistent Growth,0.406,7671,hsv-fallback,89.0
0.03,1,Lush Green,0.38,1990,hsv-fallback,89.0
0.03,1,Lush Green,0.38,2132,hsv-fallback,89.0
0.03,1,Inconsistent Growth,0.38,6997,hsv-fallback,89.0
0.03,1,Inconsistent Growth,0.38,10595,hsv-fallback,89.0
0.03,1,Inconsistent Growth,0.38,2167,hsv-fallback,89.0
0.03,1,Inconsistent Growth,0.38,3307,hsv-fallback,89.0
0.07,2,Drought / Severe Stress,0.466,11789,hsv-fallback,88.9
0.07,2,Lush Green,0.44,110776,hsv-fallback,88.9
0.07,2,Bare Soil / Gap,0.44,46682,hsv-fallback,88.9
0.07,2,Inconsistent Growth,0.438,7346,hsv-fallback,88.9
0.07,2,Drought / Severe Stress,0.434,3519,hsv-fallback,88.9
0.07,2,Lush Green,0.416,14426,hsv-fallback,88.9
0.07,2,Inconsistent Growth,0.39,11107,hsv-fallback,88.9
0.07,2,Lush Green,0.38,2002,hsv-fallback,88.9
0.07,2,Lush Green,0.38,2086,hsv-fallback,88.9
0.07,2,Inconsistent Growth,0.38,7018,hsv-fallback,88.9
0.07,2,Inconsistent Growth,0.38,3364,hsv-fallback,88.9
0.13,4,Drought / Severe Stress,0.456,10953,hsv-fallback,89.1
0.13,4,Drought / Severe Stress,0.449,3511,hsv-fallback,89.1
0.13,4,Bare Soil / Gap,0.44,47858,hsv-fallback,89.1
0.13,4,Lush Green,0.44,125941,hsv-fallback,89.1
0.13,4,Inconsistent Growth,0.43,7146,hsv-fallback,89.1
0.13,4,Inconsistent Growth,0.381,8222,hsv-fallback,89.1
0.13,4,Lush Green,0.38,2166,hsv-fallback,89.1
0.13,4,Inconsistent Growth,0.38,6707,hsv-fallback,89.1
0.13,4,Inconsistent Growth,0.38,3305,hsv-fallback,89.1
0.13,4,Inconsistent Growth,0.38,3130,hsv-fallback,89.1
0.2,6,Drought / Severe Stress,0.463,12523,hsv-fallback,89.1
0.2,6,Lush Green,0.44,107869,hsv-fallback,89.1
0.2,6,Bare Soil / Gap,0.44,49590,hsv-fallback,89.1
0.2,6,Drought / Severe Stress,0.438,3760,hsv-fallback,89.1
0.2,6,Lush Green,0.409,13786,hsv-fallback,89.1
0.2,6,Inconsistent Growth,0.4,5578,hsv-fallback,89.1
0.2,6,Lush Green,0.38,2399,hsv-fallback,89.1
0.2,6,Lush Green,0.38,3219,hsv-fallback,89.1
0.2,6,Lush Green,0.38,2358,hsv-fallback,89.1
0.2,6,Inconsistent Growth,0.38,11521,hsv-fallback,89.1
0.2,6,Inconsistent Growth,0.38,6256,hsv-fallback,89.1
0.2,6,Inconsistent Growth,0.38,3101,hsv-fallback,89.1
0.27,8,Drought / Severe Stress,0.463,13031,hsv-fallback,89.0
0.27,8,Drought / Severe Stress,0.443,3949,hsv-fallback,89.0
0.27,8,Lush Green,0.44,108961,hsv-fallback,89.0
0.27,8,Bare Soil / Gap,0.44,51263,hsv-fallback,89.0
0.27,8,Inconsistent Growth,0.428,4344,hsv-fallback,89.0
0.27,8,Lush Green,0.426,13005,hsv-fallback,89.0
0.27,8,Lush Green,0.38,2614,hsv-fallback,89.0
0.27,8,Lush Green,0.38,3370,hsv-fallback,89.0
0.27,8,Lush Green,0.38,2409,hsv-fallback,89.0
0.27,8,Inconsistent Growth,0.38,11593,hsv-fallback,89.0
0.27,8,Inconsistent Growth,0.38,4148,hsv-fallback,89.0
0.27,8,Inconsistent Growth,0.38,2858,hsv-fallback,89.0
0.27,8,Inconsistent Growth,0.38,2107,hsv-fallback,89.0
0.27,8,Inconsistent Growth,0.38,1823,hsv-fallback,89.0
0.33,10,Drought / Severe Stress,0.466,12627,hsv-fallback,89.1
0.33,10,Drought / Severe Stress,0.442,3921,hsv-fallback,89.1
0.33,10,Lush Green,0.44,111021,hsv-fallback,89.1
0.33,10,Bare Soil / Gap,0.44,52845,hsv-fallback,89.1
0.33,10,Lush Green,0.387,12128,hsv-fallback,89.1
0.33,10,Inconsistent Growth,0.385,5153,hsv-fallback,89.1
0.33,10,Lush Green,0.38,2386,hsv-fallback,89.1
0.33,10,Lush Green,0.38,2612,hsv-fallback,89.1
