t,frame,class,conf,area,source,fhi
0.03,1,Lush Green,0.55,98977,hsv,89.2
0.03,1,Lush Green,0.55,12939,hsv,89.2
0.03,1,Bare Soil / Gap,0.55,22509,hsv,89.2
0.03,1,Bare Soil / Gap,0.55,4920,hsv,89.2
0.03,1,Inconsistent Growth,0.55,13707,hsv,89.2
0.03,1,Inconsistent Growth,0.55,12373,hsv,89.2
0.03,1,Inconsistent Growth,0.55,6354,hsv,89.2
0.03,1,Drought / Severe Stress,0.55,6150,hsv,89.2
0.1,3,Lush Green,0.55,99452,hsv,89.1
0.1,3,Lush Green,0.55,12620,hsv,89.1
0.1,3,Bare Soil / Gap,0.55,24467,hsv,89.1
0.1,3,Bare Soil / Gap,0.55,5243,hsv,89.1
0.1,3,Inconsistent Growth,0.55,14775,hsv,89.1
0.1,3,Inconsistent Growth,0.55,11806,hsv,89.1
0.1,3,Inconsistent Growth,0.55,6267,hsv,89.1
0.1,3,Drought / Severe Stress,0.55,6982,hsv,89.1
0.2,6,Lush Green,0.55,98335,hsv,89.1
0.2,6,Lush Green,0.55,12063,hsv,89.1
0.2,6,Bare Soil / Gap,0.55,28211,hsv,89.1
0.2,6,Bare Soil / Gap,0.55,5094,hsv,89.1
0.2,6,Inconsistent Growth,0.55,11793,hsv,89.1
0.2,6,Inconsistent Growth,0.55,10612,hsv,89.1
0.2,6,Inconsistent Growth,0.55,8367,hsv,89.1
0.2,6,Drought / Severe Stress,0.55,8044,hsv,89.1
0.3,9,Lush Green,0.55,100408,hsv,89.4
0.3,9,Lush Green,0.55,11320,hsv,89.4
0.3,9,Bare Soil / Gap,0.55,29084,hsv,89.4
0.3,9,Bare Soil / Gap,0.55,6631,hsv,89.4
0.3,9,Inconsistent Growth,0.55,10916,hsv,89.4
0.3,9,Inconsistent Growth,0.55,9026,hsv,89.4
0.3,9,Inconsistent Growth,0.55,7389,hsv,89.4
0.3,9,Drought / Severe Stress,0.55,8381,hsv,89.4
0.4,12,Lush Green,0.55,101178,hsv,89.3
0.4,12,Lush Green,0.55,10825,hsv,89.3
0.4,12,Bare Soil / Gap,0.55,25682,hsv,89.3
0.4,12,Inconsistent Growth,0.55,10310,hsv,89.3
0.4,12,Inconsistent Growth,0.55,8344,hsv,89.3
0.4,12,Inconsistent Growth,0.55,7819,hsv,89.3
0.4,12,Drought / Severe Stress,0.55,9034,hsv,89.3
0.5,15,Lush Green,0.55,99016,hsv,89.6
0.5,15,Lush Green,0.55,10627,hsv,89.6
0.5,15,Bare Soil / Gap,0.55,26385,hsv,89.6
0.5,15,Drought / Severe Stress,0.55,9835,hsv,89.6
0.5,15,Inconsistent Growth,0.55,8759,hsv,89.6
