frame,time_sec,fhi,class_dominant,n_dets,source_dominant
2,0.033,89.2,Lush Green,7,hsv-primary
4,0.1,89.16999999999999,Lush Green,7,hsv-primary
6,0.167,89.05899999999998,Lush Green,7,hsv-primary
8,0.233,89.01129999999998,Lush Green,8,hsv-primary
10,0.3,89.00790999999998,Lush Green,7,hsv-primary
12,0.367,88.97553699999997,Lush Green,8,hsv-primary
14,0.433,88.56287589999998,Lush Green,9,hsv-primary
16,0.5,88.03401312999998,Lush Green,9,hsv-primary
18,0.567,87.18380919099998,Lush Green,10,hsv-primary
20,0.633,86.40866643369998,Lush Green,11,hsv-primary
22,0.7,85.71606650358999,Lush Green,10,hsv-primary
24,0.767,85.111246552513,Lush Green,11,hsv-primary
26,0.833,84.35787258675909,Lush Green,12,hsv-primary
28,0.9,83.68051081073135,Lush Green,13,hsv-primary
30,0.967,83.20635756751194,Lush Green,13,hsv-primary
32,1.033,82.99445029725835,Lush Green,14,hsv-primary
34,1.1,82.51611520808085,Lush Green,14,hsv-primary
36,1.167,82.24128064565659,Lush Green,16,hsv-primary
38,1.233,82.0488964519596,Lush Green,14,hsv-primary
40,1.3,81.34422751637172,Lush Green,15,hsv-primary
42,1.367,81.1809592614602,Lush Green,14,hsv-primary
44,1.433,80.91667148302214,Lush Green,14,hsv-primary
46,1.5,80.4616700381155,Lush Green,13,hsv-primary
48,1.567,80.23316902668084,Lush Green,13,hsv-primary
50,1.633,79.71321831867658,Lush Green,16,hsv-primary
52,1.7,79.0492528230736,Lush Green,14,hsv-primary
54,1.767,78.88447697615152,Lush Green,13,hsv-primary
56,1.833,78.58913388330606,Lush Green,15,hsv-primary
58,1.9,78.71239371831425,Lush Green,14,hsv-primary
60,1.967,78.85867560281997,Lush Green,15,hsv-primary
62,2.033,78.51107292197398,Lush Green,15,hsv-primary
64,2.1,78.47775104538178,Lush Green,11,hsv-primary
66,2.167,78.60442573176724,Lush Green,11,hsv-primary
68,2.233,78.63309801223707,Lush Green,13,hsv-primary
70,2.3,78.62316860856595,Lush Green,10,hsv-primary
72,2.367,78.64621802599616,Lush Green,10,hsv-primary
74,2.433,78.6623526181973,Lush Green,13,hsv-primary
76,2.5,78.88364683273811,Lush Green,9,hsv-primary
78,2.567,79.09855278291667,Lush Green,10,hsv-primary
80,2.633,79.30898694804166,Lush Green,10,hsv-primary
82,2.7,79.75629086362916,Lush Green,11,hsv-primary
84,2.767,80.3094036045404,Lush Green,10,hsv-primary
86,2.833,80.78658252317828,Lush Green,10,hsv-primary
88,2.9,81.09060776622479,Lush Green,11,hsv-primary
90,2.967,81.45342543635735,Lush Green,10,hsv-primary
92,3.033,81.58739780545014,Lush Green,10,hsv-primary
94,3.1,81.5011784638151,Lush Green,10,hsv-primary
96,3.167,81.44082492467057,Lush Green,10,hsv-primary
98,3.233,81.30857744726939,Lush Green,11,hsv-primary
100,3.3,81.15600421308856,Lush Green,12,hsv-primary
102,3.367,80.95920294916199,Lush Green,14,hsv-primary
104,3.433,80.52144206441339,Lush Green,13,hsv-primary
106,3.5,80.21500944508936,Lush Green,14,hsv-primary
108,3.567,79.67050661156254,Lush Green,13,hsv-primary
110,3.633,79.46935462809378,Lush Green,13,hsv-primary
112,3.7,78.45854823966565,Lush Green,14,hsv-primary
114,3.767,77.42098376776595,Lush Green,13,hsv-primary
116,3.833,76.69468863743616,Lush Green,12,hsv-primary
118,3.9,76.00628204620531,Lush Green,15,hsv-primary
120,3.967,75.31439743234372,Lush Green,15,hsv-primary
122,4.033,74.86007820264061,Lush Green,12,hsv-primary
124,4.1,74.21205474184842,Lush Green,12,hsv-primary
126,4.167,73.6384383192939,Lush Green,11,hsv-primary
128,4.233,72.78690682350572,Lush Green,15,hsv-primary
130,4.3,72.16083477645401,Lush Green,13,hsv-primary
132,4.367,72.2025843435178,Lush Green,10,hsv-primary
134,4.433,71.06180904046245,Lush Green,14,hsv-primary
136,4.5,70.11326632832372,Lush Green,13,hsv-primary
138,4.567,69.3892864298266,Lush Green,16,hsv-primary
140,4.633,68.58250050087862,Lush Green,17,hsv-primary
142,4.7,67.56775035061503,Lush Green,17,hsv-primary
144,4.767,66.70742524543051,Drought / Severe Stress,13,hsv-primary
146,4.833,65.74519767180136,Drought / Severe Stress,15,hsv-primary
148,4.9,64.68163837026096,Drought / Severe Stress,17,hsv-primary
150,4.967,63.96714685918266,Drought / Severe Stress,17,hsv-primary
152,5.033,61.937002801427866,Drought / Severe Stress,14,hsv-primary
154,5.1,61.565901960999504,Drought / Severe Stress,19,hsv-primary
156,5.167,61.24613137269965,Drought / Severe Stress,17,hsv-primary
158,5.233,60.60229196088976,Drought / Severe Stress,16,hsv-primary
160,5.3,59.221604372622835,Drought / Severe Stress,18,hsv-primary
162,5.367,58.97512306083598,Drought / Severe Stress,16,hsv-primary
164,5.433,57.662586142585184,Drought / Severe Stress,16,hsv-primary
166,5.5,56.89381029980963,Drought / Severe Stress,16,hsv-primary
168,5.567,56.32566720986674,Drought / Severe Stress,15,hsv-primary
170,5.633,56.827967046906714,Drought / Severe Stress,17,hsv-primary
172,5.7,57.4195769328347,Drought / Severe Stress,16,hsv-primary
174,5.767,57.14370385298429,Drought / Severe Stress,15,hsv-primary
176,5.833,57.040592697089,Drought / Severe Stress,15,hsv-primary
178,5.9,57.8084148879623,Drought / Severe Stress,19,hsv-primary
180,5.967,58.495890421573606,Drought / Severe Stress,15,hsv-primary
182,6.033,58.88712329510152,Drought / Severe Stress,11,hsv-primary
184,6.1,59.07098630657106,Drought / Severe Stress,13,hsv-primary
186,6.167,58.809690414599736,Drought / Severe Stress,11,hsv-primary
188,6.233,58.68678329021981,Drought / Severe Stress,12,hsv-primary
190,6.3,58.51074830315386,Drought / Severe Stress,13,hsv-primary
192,6.367,58.2375238122077,Drought / Severe Stress,14,hsv-primary
194,6.433,57.98626666854538,Drought / Severe Stress,16,hsv-primary
196,6.5,57.75038666798177,Drought / Severe Stress,15,hsv-primary
198,6.567,57.285270667587234,Drought / Severe Stress,11,hsv-primary
200,6.633,56.77968946731106,Drought / Severe Stress,15,hsv-primary
202,6.7,56.665782627117736,Drought / Severe Stress,16,hsv-primary
204,6.767,56.136047838982414,Drought / Severe Stress,16,hsv-primary
206,6.833,56.00523348728769,Drought / Severe Stress,17,hsv-primary
208,6.9,56.21366344110139,Drought / Severe Stress,15,hsv-primary
210,6.967,56.08956440877097,Drought / Severe Stress,15,hsv-primary
212,7.033,55.88269508613967,Drought / Severe Stress,15,hsv-primary
214,7.1,55.85788656029777,Drought / Severe Stress,14,hsv-primary
216,7.167,55.840520592208435,Drought / Severe Stress,14,hsv-primary
