frame,time_sec,fhi,class_dominant,n_dets,source_dominant
2,0.033,89.0,Lush Green,6,hsv-primary
4,0.1,71.53999999999999,Drought / Severe Stress,7,yolo-det
6,0.167,76.62799999999999,Lush Green,6,hsv-primary
8,0.233,65.99959999999999,Drought / Severe Stress,9,yolo-det
10,0.3,72.80971999999998,Lush Green,6,hsv-primary
12,0.367,67.406804,Drought / Severe Stress,8,yolo-det
14,0.433,63.2047628,Drought / Severe Stress,8,yolo-det
16,0.5,60.053333959999996,Drought / Severe Stress,9,yolo-det
18,0.567,57.847333772,Drought / Severe Stress,10,yolo-det
20,0.633,50.3031336404,Drought / Severe Stress,13,yolo-det
22,0.7,44.21219354828,Drought / Severe Stress,10,yolo-det
24,0.767,46.488535483796,Drought / Severe Stress,11,yolo-det
26,0.833,47.901974838657196,Drought / Severe Stress,13,yolo-det
28,0.9,49.101382387060035,Drought / Severe Stress,13,yolo-det
30,0.967,49.46096767094202,Drought / Severe Stress,11,yolo-det
32,1.033,50.55267736965941,Drought / Severe Stress,15,yolo-det
34,1.1,51.55687415876159,Drought / Severe Stress,13,yolo-det
36,1.167,43.25981191113311,Drought / Severe Stress,16,yolo-det
38,1.233,47.08186833779318,Drought / Severe Stress,13,yolo-det
40,1.3,49.42730783645523,Drought / Severe Stress,15,yolo-det
42,1.367,50.85911548551866,Drought / Severe Stress,15,yolo-det
44,1.433,52.07138083986305,Drought / Severe Stress,15,yolo-det
46,1.5,52.10996658790414,Drought / Severe Stress,12,yolo-det
48,1.567,43.556976611532896,Drought / Severe Stress,11,yolo-det
50,1.633,38.769883628073025,Drought / Severe Stress,16,yolo-det
52,1.7,34.33891853965112,Drought / Severe Stress,13,yolo-det
54,1.767,30.727242977755783,Drought / Severe Stress,12,yolo-det
56,1.833,28.82907008442905,Drought / Severe Stress,15,yolo-det
58,1.9,27.500349059100333,Drought / Severe Stress,14,yolo-det
60,1.967,26.510244341370232,Drought / Severe Stress,15,yolo-det
62,2.033,25.84717103895916,Drought / Severe Stress,15,yolo-det
64,2.1,25.35301972727141,Drought / Severe Stress,11,yolo-det
66,2.167,25.067113809089985,Drought / Severe Stress,11,yolo-det
68,2.233,25.85697966636299,Drought / Severe Stress,12,yolo-det
70,2.3,26.34988576645409,Drought / Severe Stress,9,yolo-det
72,2.367,25.07492003651786,Drought / Severe Stress,9,yolo-det
74,2.433,26.3424440255625,Drought / Severe Stress,12,yolo-det
76,2.5,44.14971081789375,Lush Green,7,hsv-primary
78,2.567,37.53479757252562,Drought / Severe Stress,8,yolo-det
80,2.633,52.13435830076793,Lush Green,8,hsv-primary
82,2.7,60.67405081053754,Lush Green,10,hsv-primary
84,2.767,49.16183556737627,Drought / Severe Stress,7,yolo-det
86,2.833,41.01328489716339,Drought / Severe Stress,8,yolo-det
88,2.9,53.399299428014366,Lush Green,10,hsv-primary
90,2.967,62.06950959961005,Lush Green,10,hsv-primary
92,3.033,50.228656719727034,Drought / Severe Stress,8,yolo-det
94,3.1,43.26005970380892,Drought / Severe Stress,9,yolo-det
96,3.167,38.20204179266624,Drought / Severe Stress,8,yolo-det
98,3.233,34.81142925486637,Drought / Severe Stress,9,yolo-det
100,3.3,32.58800047840646,Drought / Severe Stress,10,yolo-det
102,3.367,30.881600334884517,Drought / Severe Stress,11,yolo-det
104,3.433,29.717120234419163,Drought / Severe Stress,10,yolo-det
106,3.5,29.051984164093412,Drought / Severe Stress,11,yolo-det
108,3.567,28.40638891486539,Drought / Severe Stress,9,yolo-det
110,3.633,27.83447224040577,Drought / Severe Stress,9,yolo-det
112,3.7,27.344130568284037,Drought / Severe Stress,9,yolo-det
114,3.767,26.790891397798823,Drought / Severe Stress,8,yolo-det
116,3.833,26.433623978459174,Drought / Severe Stress,8,yolo-det
118,3.9,25.973536784921418,Drought / Severe Stress,10,yolo-det
120,3.967,25.501475749444992,Drought / Severe Stress,10,yolo-det
122,4.033,25.171033024611493,Drought / Severe Stress,10,yolo-det
124,4.1,24.849723117228045,Drought / Severe Stress,9,yolo-det
126,4.167,24.53480618205963,Drought / Severe Stress,8,yolo-det
128,4.233,24.34436432744174,Drought / Severe Stress,9,yolo-det
130,4.3,24.181055029209215,Drought / Severe Stress,8,yolo-det
132,4.367,24.06673852044645,Drought / Severe Stress,7,yolo-det
134,4.433,24.166716964312513,Drought / Severe Stress,9,yolo-det
136,4.5,24.086701875018758,Drought / Severe Stress,9,yolo-det
138,4.567,24.030691312513127,Drought / Severe Stress,13,yolo-det
140,4.633,23.90148391875919,Drought / Severe Stress,13,yolo-det
142,4.7,23.72103874313143,Drought / Severe Stress,12,yolo-det
144,4.767,23.654727120192,Drought / Severe Stress,11,yolo-det
146,4.833,23.6083089841344,Drought / Severe Stress,12,yolo-det
148,4.9,23.395816288894075,Drought / Severe Stress,11,yolo-det
150,4.967,23.48707140222585,Drought / Severe Stress,14,yolo-det
152,5.033,23.340949981558094,Drought / Severe Stress,11,yolo-det
154,5.1,23.298664987090664,Drought / Severe Stress,15,yolo-det
156,5.167,23.269065490963463,Drought / Severe Stress,12,yolo-det
158,5.233,23.248345843674425,Drought / Severe Stress,12,yolo-det
160,5.3,23.623842090572097,Drought / Severe Stress,15,yolo-det
162,5.367,23.526689463400466,Drought / Severe Stress,12,yolo-det
164,5.433,23.788682624380325,Drought / Severe Stress,13,yolo-det
166,5.5,23.972077837066227,Drought / Severe Stress,12,yolo-det
168,5.567,23.710454485946357,Drought / Severe Stress,12,yolo-det
170,5.633,23.587318140162452,Drought / Severe Stress,12,yolo-det
172,5.7,23.621122698113716,Drought / Severe Stress,11,yolo-det
174,5.767,23.9147858886796,Drought / Severe Stress,13,yolo-det
176,5.833,23.610350122075715,Drought / Severe Stress,12,yolo-det
178,5.9,23.937245085453,Drought / Severe Stress,14,yolo-det
180,5.967,24.2860715598171,Drought / Severe Stress,12,yolo-det
182,6.033,24.080250091871967,Drought / Severe Stress,9,yolo-det
184,6.1,24.086175064310375,Drought / Severe Stress,12,yolo-det
186,6.167,24.03032254501726,Drought / Severe Stress,10,yolo-det
188,6.233,24.59122578151208,Drought / Severe Stress,12,yolo-det
190,6.3,24.923858047058452,Drought / Severe Stress,13,yolo-det
192,6.367,24.976700632940915,Drought / Severe Stress,12,yolo-det
194,6.433,25.10369044305864,Drought / Severe Stress,15,yolo-det
196,6.5,24.712583310141046,Drought / Severe Stress,11,yolo-det
198,6.567,24.73880831709873,Drought / Severe Stress,9,yolo-det
200,6.633,24.84716582196911,Drought / Severe Stress,14,yolo-det
202,6.7,24.863016075378376,Drought / Severe Stress,14,yolo-det
204,6.767,24.84411125276486,Drought / Severe Stress,15,yolo-det
206,6.833,24.8608778769354,Drought / Severe Stress,15,yolo-det
208,6.9,24.75261451385478,Drought / Severe Stress,14,yolo-det
210,6.967,24.766830159698344,Drought / Severe Stress,14,yolo-det
212,7.033,24.746781111788838,Drought / Severe Stress,13,yolo-det
214,7.1,24.942746778252186,Drought / Severe Stress,12,yolo-det
216,7.167,25.109922744776526,Drought / Severe Stress,12,yolo-det
218,7.233,25.166945921343565,Drought / Severe Stress,12,yolo-det
220,7.3,25.266862144940493,Drought / Severe Stress,14,yolo-det
222,7.367,25.12680350145834,Drought / Severe Stress,15,yolo-det
224,7.433,25.238762451020836,Drought / Severe Stress,14,yolo-det
226,7.5,24.897133715714585,Drought / Severe Stress,14,yolo-det
228,7.567,24.717993601000206,Drought / Severe Stress,13,yolo-det
230,7.633,24.202595520700143,Drought / Severe Stress,9,yolo-det
232,7.7,24.381816864490098,Drought / Severe Stress,11,yolo-det
234,7.767,24.447271805143068,Drought / Severe Stress,10,yolo-det
236,7.833,24.553090263600147,Drought / Severe Stress,11,yolo-det
238,7.9,24.117163184520102,Drought / Severe Stress,11,yolo-det
240,7.967,23.752014229164068,Drought / Severe Stress,10,yolo-det
242,8.033,24.126409960414847,Drought / Severe Stress,13,yolo-det
244,8.1,24.83848697229039,Drought / Severe Stress,13,yolo-det
246,8.167,24.676940880603272,Drought / Severe Stress,12,yolo-det
248,8.233,24.563858616422287,Drought / Severe Stress,14,yolo-det
250,8.3,24.4847010314956,Drought / Severe Stress,13,yolo-det
252,8.367,24.429290722046918,Drought / Severe Stress,12,yolo-det
254,8.433,24.30050350543284,Drought / Severe Stress,13,yolo-det
256,8.5,24.300352453802986,Drought / Severe Stress,13,yolo-det
258,8.567,24.180246717662087,Drought / Severe Stress,11,yolo-det
260,8.633,24.096172702363457,Drought / Severe Stress,11,yolo-det
262,8.7,24.18732089165442,Drought / Severe Stress,10,yolo-det
264,8.767,24.22112462415809,Drought / Severe Stress,13,yolo-det
266,8.833,24.27478723691066,Drought / Severe Stress,14,yolo-det
268,8.9,24.28235106583746,Drought / Severe Stress,11,yolo-det
270,8.967,24.40764574608622,Drought / Severe Stress,13,yolo-det
272,9.033,23.98535202226035,Drought / Severe Stress,10,yolo-det
274,9.1,23.779746415582245,Drought / Severe Stress,10,yolo-det
