t,frame,class,conf,area,source,fhi
0.03,1,Bare Soil / Gap,0.48,37239,hsv-fallback,93.1
0.03,1,Lush Green,0.48,18192,hsv-fallback,93.1
0.03,1,Bare Soil / Gap,0.461,10037,onnx-medium,93.1
0.03,1,Lush Green,0.42,4901,hsv-fallback,93.1
0.03,1,Lush Green,0.42,2414,hsv-fallback,93.1
0.03,1,Lush Green,0.42,2359,hsv-fallback,93.1
0.03,1,Inconsistent Growth,0.42,3051,hsv-fallback,93.1
0.03,1,Inconsistent Growth,0.42,5703,hsv-fallback,93.1
0.03,1,Inconsistent Growth,0.42,1746,hsv-fallback,93.1
0.03,1,Inconsistent Growth,0.42,2013,hsv-fallback,93.1
0.03,1,Inconsistent Growth,0.42,2447,hsv-fallback,93.1
0.03,1,Bare Soil / Gap,0.38,5527,onnx-weak,93.1
0.03,1,Bare Soil / Gap,0.37,1956,onnx-weak,93.1
0.07,2,Bare Soil / Gap,0.48,37637,hsv-fallback,92.7
0.07,2,Lush Green,0.48,18511,hsv-fallback,92.7
0.07,2,Bare Soil / Gap,0.466,11489,onnx-medium,92.7
0.07,2,Lush Green,0.42,5284,hsv-fallback,92.7
0.07,2,Lush Green,0.42,4758,hsv-fallback,92.7
0.07,2,Lush Green,0.42,2359,hsv-fallback,92.7
0.07,2,Lush Green,0.42,2331,hsv-fallback,92.7
0.07,2,Inconsistent Growth,0.42,3019,hsv-fallback,92.7
0.07,2,Inconsistent Growth,0.42,1764,hsv-fallback,92.7
0.07,2,Inconsistent Growth,0.42,2321,hsv-fallback,92.7
0.07,2,Drought / Severe Stress,0.394,6402,onnx-weak,92.7
0.13,4,Bare Soil / Gap,0.48,39293,hsv-fallback,92.5
0.13,4,Bare Soil / Gap,0.456,10767,onnx-medium,92.5
0.13,4,Inconsistent Growth,0.42,7152,hsv-fallback,92.5
0.13,4,Inconsistent Growth,0.42,2759,hsv-fallback,92.5
0.13,4,Inconsistent Growth,0.42,1591,hsv-fallback,92.5
0.13,4,Inconsistent Growth,0.42,2539,hsv-fallback,92.5
0.13,4,Lush Green,0.42,4545,hsv-fallback,92.5
0.13,4,Lush Green,0.42,2409,hsv-fallback,92.5
0.13,4,Lush Green,0.42,2143,hsv-fallback,92.5
0.13,4,Bare Soil / Gap,0.378,4989,onnx-weak,92.5
0.2,6,Bare Soil / Gap,0.48,39884,hsv-fallback,92.2
0.2,6,Bare Soil / Gap,0.463,12341,onnx-medium,92.2
0.2,6,Inconsistent Growth,0.42,8412,hsv-fallback,92.2
0.2,6,Inconsistent Growth,0.42,2585,hsv-fallback,92.2
0.2,6,Lush Green,0.42,4675,hsv-fallback,92.2
0.2,6,Inconsistent Growth,0.42,2499,hsv-fallback,92.2
0.2,6,Lush Green,0.42,2697,hsv-fallback,92.2
0.2,6,Drought / Severe Stress,0.42,1675,hsv-fallback,92.2
0.2,6,Bare Soil / Gap,0.393,8049,onnx-weak,92.2
0.27,8,Bare Soil / Gap,0.48,28486,hsv-fallback,92.0
0.27,8,Bare Soil / Gap,0.463,12655,onnx-medium,92.0
0.27,8,Bare Soil / Gap,0.427,7887,onnx-weak,92.0
0.27,8,Bare Soil / Gap,0.42,12831,hsv-fallback,92.0
0.27,8,Inconsistent Growth,0.42,8462,hsv-fallback,92.0
0.27,8,Inconsistent Growth,0.42,2645,hsv-fallback,92.0
0.27,8,Inconsistent Growth,0.42,2508,hsv-fallback,92.0
0.27,8,Lush Green,0.42,4597,hsv-fallback,92.0
0.27,8,Drought / Severe Stress,0.42,1838,hsv-fallback,92.0
0.27,8,Lush Green,0.42,3011,hsv-fallback,92.0
0.27,8,Bare Soil / Gap,0.375,1583,onnx-weak,92.0
0.33,10,Bare Soil / Gap,0.48,30747,hsv-fallback,92.9
0.33,10,Bare Soil / Gap,0.461,12346,onnx-medium,92.9
0.33,10,Bare Soil / Gap,0.441,8304,onnx-weak,92.9
0.33,10,Lush Green,0.42,2621,hsv-fallback,92.9
0.33,10,Lush Green,0.42,4504,hsv-fallback,92.9
0.33,10,Drought / Severe Stress,0.42,1784,hsv-fallback,92.9
0.33,10,Inconsistent Growth,0.42,2560,hsv-fallback,92.9
0.33,10,Inconsistent Growth,0.42,2714,hsv-fallback,92.9
0.33,10,Bare Soil / Gap,0.409,12574,onnx-weak,92.9
0.33,10,Bare Soil / Gap,0.395,8355,onnx-weak,92.9
0.33,10,Bare Soil / Gap,0.35,1864,onnx-weak,92.9
0.4,12,Bare Soil / Gap,0.48,28499,hsv-fallback,94.1
0.4,12,Bare Soil / Gap,0.468,12580,onnx-medium,94.1
0.4,12,Bare Soil / Gap,0.42,13169,hsv-fallback,94.1
0.4,12,Bare Soil / Gap,0.42,2917,hsv-fallback,94.1
0.4,12,Lush Green,0.42,14280,hsv-fallback,94.1
0.4,12,Lush Green,0.42,4286,hsv-fallback,94.1
0.4,12,Lush Green,0.42,3270,hsv-fallback,94.1
0.4,12,Lush Green,0.42,1780,hsv-fallback,94.1
0.4,12,Inconsistent Growth,0.42,2675,hsv-fallback,94.1
0.4,12,Inconsistent Growth,0.42,2760,hsv-fallback,94.1
0.4,12,Bare Soil / Gap,0.391,10903,onnx-weak,94.1
0.47,14,Bare Soil / Gap,0.466,13292,onnx-medium,94.2
0.47,14,Lush Green,0.42,11012,hsv-fallback,94.2
0.47,14,Lush Green,0.42,3490,hsv-fallback,94.2
0.47,14,Lush Green,0.42,5579,hsv-fallback,94.2
0.47,14,Inconsistent Growth,0.42,2220,hsv-fallback,94.2
0.47,14,Bare Soil / Gap,0.42,4430,hsv-fallback,94.2
0.47,14,Drought / Severe Stress,0.42,1696,hsv-fallback,94.2
0.47,14,Inconsistent Growth,0.42,2145,hsv-fallback,94.2
0.47,14,Lush Green,0.402,14149,onnx-weak,94.2
0.47,14,Bare Soil / Gap,0.352,1825,onnx-weak,94.2
0.53,16,Bare Soil / Gap,0.48,35221,hsv-fallback,93.9
0.53,16,Bare Soil / Gap,0.471,13043,onnx-medium,93.9
0.53,16,Bare Soil / Gap,0.467,5369,onnx-medium,93.9
0.53,16,Lush Green,0.42,11740,hsv-fallback,93.9
0.53,16,Lush Green,0.42,3583,hsv-fallback,93.9
0.53,16,Lush Green,0.42,5223,hsv-fallback,93.9
0.53,16,Lush Green,0.42,1728,hsv-fallback,93.9
0.53,16,Lush Green,0.42,1584,hsv-fallback,93.9
0.53,16,Drought / Severe Stress,0.42,2702,hsv-fallback,93.9
0.53,16,Inconsistent Growth,0.42,8238,hsv-fallback,93.9
0.53,16,Inconsistent Growth,0.42,2204,hsv-fallback,93.9
0.53,16,Inconsistent Growth,0.42,2166,hsv-fallback,93.9
0.53,16,Lush Green,0.391,13730,onnx-weak,93.9
0.53,16,Bare Soil / Gap,0.373,4227,onnx-weak,93.9
0.6,18,Bare Soil / Gap,0.468,13135,onnx-medium,92.2
0.6,18,Bare Soil / Gap,0.455,1810,onnx-medium,92.2
0.6,18,Bare Soil / Gap,0.42,3104,hsv-fallback,92.2
0.6,18,Lush Green,0.42,11474,hsv-fallback,92.2
0.6,18,Lush Green,0.42,3634,hsv-fallback,92.2
0.6,18,Lush Green,0.42,5296,hsv-fallback,92.2
0.6,18,Inconsistent Growth,0.42,8511,hsv-fallback,92.2
0.6,18,Lush Green,0.42,1641,hsv-fallback,92.2
0.6,18,Drought / Severe Stress,0.42,3507,hsv-fallback,92.2
0.6,18,Inconsistent Growth,0.42,2098,hsv-fallback,92.2
0.6,18,Bare Soil / Gap,0.36,1688,onnx-weak,92.2
0.6,18,Bare Soil / Gap,0.357,1771,onnx-weak,92.2
0.67,20,Bare Soil / Gap,0.461,13190,onnx-medium,91.7
0.67,20,Bare Soil / Gap,0.42,2093,hsv-fallback,91.7
0.67,20,Lush Green,0.42,5608,hsv-fallback,91.7
0.67,20,Lush Green,0.42,11870,hsv-fallback,91.7
0.67,20,Lush Green,0.42,3718,hsv-fallback,91.7
