frame,time_sec,fhi,class_dominant,n_dets,source_dominant
2,0.033,92.8,Lush Green,9,hsv-primary
4,0.1,92.77,Lush Green,8,hsv-primary
6,0.167,93.199,Lush Green,6,hsv-primary
8,0.233,93.4393,Lush Green,8,hsv-primary
10,0.3,93.36751000000001,Lush Green,8,hsv-primary
12,0.367,93.527257,Lush Green,8,hsv-primary
14,0.433,88.3290799,Inconsistent Growth,8,yolo-det
16,0.5,89.94035593,Lush Green,8,hsv-primary
18,0.567,81.138249151,Inconsistent Growth,12,yolo-det
20,0.633,79.29677440569999,Inconsistent Growth,14,yolo-det
22,0.7,74.16774208398999,Inconsistent Growth,16,yolo-det
24,0.767,74.147419458793,Inconsistent Growth,15,yolo-det
26,0.833,70.4731936211551,Inconsistent Growth,16,yolo-det
28,0.9,71.23123553480858,Inconsistent Growth,16,yolo-det
30,0.967,71.371864874366,Inconsistent Growth,18,yolo-det
32,1.033,76.00030541205619,Lush Green,18,hsv-primary
34,1.1,75.04021378843933,Inconsistent Growth,16,yolo-det
36,1.167,70.52814965190753,Inconsistent Growth,20,yolo-det
38,1.233,67.18970475633526,Inconsistent Growth,21,yolo-det
40,1.3,69.02279332943468,Inconsistent Growth,18,yolo-det
42,1.367,70.27595533060426,Inconsistent Growth,17,yolo-det
44,1.433,71.18316873142298,Inconsistent Growth,17,yolo-det
46,1.5,71.78821811199609,Inconsistent Growth,16,yolo-det
48,1.567,71.40175267839726,Inconsistent Growth,17,yolo-det
50,1.633,67.68122687487808,Inconsistent Growth,19,yolo-det
52,1.7,73.50685881241465,Lush Green,13,hsv-primary
54,1.767,68.97480116869025,Inconsistent Growth,19,yolo-det
56,1.833,73.42236081808316,Lush Green,18,hsv-primary
58,1.9,69.06565257265821,Inconsistent Growth,16,yolo-det
60,1.967,65.98595680086073,Inconsistent Growth,18,yolo-det
62,2.033,63.80016976060251,Inconsistent Growth,16,yolo-det
64,2.1,62.27011883242175,Inconsistent Growth,16,yolo-det
66,2.167,61.28908318269522,Inconsistent Growth,14,yolo-det
68,2.233,60.962358227886654,Inconsistent Growth,15,yolo-det
70,2.3,60.76365075952066,Inconsistent Growth,15,yolo-det
72,2.367,60.14455553166446,Inconsistent Growth,15,yolo-det
74,2.433,60.191188872165114,Inconsistent Growth,18,yolo-det
76,2.5,68.23383221051557,Lush Green,12,hsv-primary
78,2.567,74.2836825473609,Lush Green,10,hsv-primary
80,2.633,69.81857778315262,Inconsistent Growth,10,yolo-det
82,2.7,66.84300444820683,Inconsistent Growth,12,yolo-det
84,2.767,64.67010311374477,Inconsistent Growth,12,yolo-det
86,2.833,63.08907217962134,Inconsistent Growth,12,yolo-det
88,2.9,62.04235052573493,Inconsistent Growth,11,yolo-det
90,2.967,69.73964536801445,Lush Green,12,hsv-primary
92,3.033,66.87775175761011,Inconsistent Growth,12,yolo-det
94,3.1,64.96442623032708,Inconsistent Growth,12,yolo-det
96,3.167,63.50509836122895,Inconsistent Growth,13,yolo-det
98,3.233,70.28356885286027,Lush Green,13,hsv-primary
100,3.3,67.43849819700219,Inconsistent Growth,15,yolo-det
102,3.367,65.35694873790152,Inconsistent Growth,17,yolo-det
104,3.433,63.95986411653106,Inconsistent Growth,14,yolo-det
106,3.5,63.04190488157174,Inconsistent Growth,16,yolo-det
