frame,time_sec,fhi,class_dominant,n_dets,source_dominant
2,0.033,93.7,Lush Green,8,hsv-primary
4,0.1,94.06,Lush Green,6,hsv-primary
6,0.167,94.52199999999999,Lush Green,5,hsv-primary
8,0.233,94.93539999999999,Lush Green,6,hsv-primary
10,0.3,94.71477999999999,Lush Green,7,hsv-primary
12,0.367,94.83034599999999,Lush Green,7,hsv-primary
14,0.433,88.6412422,Inconsistent Growth,7,yolo-det
16,0.5,90.48886954,Lush Green,7,hsv-primary
18,0.567,90.97220867799999,Lush Green,11,hsv-primary
20,0.633,85.52054607459999,Inconsistent Growth,12,yolo-det
22,0.7,78.13438225221999,Inconsistent Growth,14,yolo-det
24,0.767,76.32406757655399,Inconsistent Growth,12,yolo-det
26,0.833,72.02684730358779,Inconsistent Growth,12,yolo-det
28,0.9,71.77879311251144,Inconsistent Growth,13,yolo-det
30,0.967,76.375155178758,Lush Green,14,hsv-primary
32,1.033,79.8626086251306,Lush Green,17,hsv-primary
34,1.1,77.74382603759142,Inconsistent Growth,16,yolo-det
36,1.167,72.45067822631398,Inconsistent Growth,19,yolo-det
38,1.233,72.94547475841978,Inconsistent Growth,18,yolo-det
40,1.3,72.90183233089384,Inconsistent Growth,16,yolo-det
42,1.367,72.93128263162569,Inconsistent Growth,14,yolo-det
44,1.433,73.70189784213798,Inconsistent Growth,13,yolo-det
46,1.5,73.70132848949658,Inconsistent Growth,15,yolo-det
48,1.567,77.7209299426476,Lush Green,14,hsv-primary
50,1.633,72.13465095985332,Inconsistent Growth,16,yolo-det
52,1.7,76.62425567189732,Lush Green,13,hsv-primary
54,1.767,79.10697897032811,Lush Green,15,hsv-primary
56,1.833,81.20488527922967,Lush Green,15,hsv-primary
58,1.9,83.66341969546076,Lush Green,11,hsv-primary
60,1.967,85.05439378682253,Lush Green,15,hsv-primary
62,2.033,85.69807565077576,Lush Green,13,hsv-primary
64,2.1,86.14865295554303,Lush Green,13,hsv-primary
66,2.167,78.00405706888012,Inconsistent Growth,12,yolo-det
68,2.233,72.69283994821608,Inconsistent Growth,14,yolo-det
70,2.3,68.97498796375125,Inconsistent Growth,15,yolo-det
72,2.367,74.50249157462588,Lush Green,12,hsv-primary
74,2.433,70.24174410223812,Inconsistent Growth,16,yolo-det
76,2.5,75.80922087156668,Lush Green,11,hsv-primary
78,2.567,79.58645461009667,Lush Green,10,hsv-primary
80,2.633,83.34051822706766,Lush Green,7,hsv-primary
82,2.7,85.93836275894736,Lush Green,9,hsv-primary
84,2.767,87.42685393126315,Lush Green,10,hsv-primary
86,2.833,87.9587977518842,Lush Green,11,hsv-primary
88,2.9,88.54115842631894,Lush Green,9,hsv-primary
90,2.967,88.28881089842325,Lush Green,12,hsv-primary
92,3.033,88.08216762889627,Lush Green,11,hsv-primary
94,3.1,87.87751734022739,Lush Green,11,hsv-primary
96,3.167,87.70426213815917,Lush Green,11,hsv-primary
98,3.233,87.5529834967114,Lush Green,12,hsv-primary
100,3.3,87.20708844769798,Lush Green,11,hsv-primary
102,3.367,88.10496191338858,Lush Green,11,hsv-primary
104,3.433,88.613473339372,Lush Green,10,hsv-primary
106,3.5,89.2694313375604,Lush Green,10,hsv-primary
108,3.567,89.45860193629228,Lush Green,11,hsv-primary
110,3.633,89.6810213554046,Lush Green,11,hsv-primary
112,3.7,89.41671494878321,Lush Green,12,hsv-primary
114,3.767,88.51170046414825,Lush Green,12,hsv-primary
116,3.833,88.80819032490376,Lush Green,10,hsv-primary
118,3.9,89.16573322743264,Lush Green,11,hsv-primary
120,3.967,88.09601325920283,Lush Green,13,hsv-primary
122,4.033,87.28720928144197,Lush Green,11,hsv-primary
124,4.1,85.88104649700938,Lush Green,14,hsv-primary
126,4.167,83.75673254790655,Lush Green,14,hsv-primary
128,4.233,84.21971278353458,Lush Green,13,hsv-primary
130,4.3,82.9237989484742,Lush Green,13,hsv-primary
132,4.367,83.60665926393193,Lush Green,13,hsv-primary
134,4.433,83.87466148475235,Lush Green,12,hsv-primary
136,4.5,82.77226303932665,Lush Green,14,hsv-primary
138,4.567,81.55058412752865,Lush Green,16,hsv-primary
140,4.633,80.42540888927005,Lush Green,17,hsv-primary
142,4.7,79.12778622248902,Lush Green,15,hsv-primary
144,4.767,78.36945035574232,Lush Green,14,hsv-primary
146,4.833,77.68861524901962,Lush Green,14,hsv-primary
148,4.9,77.06203067431373,Lush Green,15,hsv-primary
150,4.967,76.53342147201961,Lush Green,15,hsv-primary
152,5.033,75.74339503041372,Inconsistent Growth,14,hsv-primary
154,5.1,73.2703765212896,Inconsistent Growth,13,hsv-primary
156,5.167,73.60926356490272,Inconsistent Growth,13,hsv-primary
158,5.233,71.5964844954319,Inconsistent Growth,12,hsv-primary
160,5.3,72.67753914680232,Inconsistent Growth,13,hsv-primary
162,5.367,72.53427740276162,Inconsistent Growth,14,hsv-primary
164,5.433,73.24399418193313,Inconsistent Growth,14,hsv-primary
166,5.5,73.9807959273532,Inconsistent Growth,15,hsv-primary
168,5.567,74.58655714914724,Inconsistent Growth,11,hsv-primary
170,5.633,73.99059000440306,Inconsistent Growth,14,hsv-primary
172,5.7,73.57341300308214,Inconsistent Growth,14,hsv-primary
174,5.767,74.45138910215749,Inconsistent Growth,13,hsv-primary
176,5.833,75.12597237151024,Inconsistent Growth,12,hsv-primary
178,5.9,72.71818066005717,Inconsistent Growth,13,hsv-primary
180,5.967,73.49272646204001,Inconsistent Growth,16,hsv-primary
182,6.033,75.024908523428,Inconsistent Growth,12,hsv-primary
184,6.1,76.09743596639959,Inconsistent Growth,13,hsv-primary
186,6.167,74.5382051764797,Inconsistent Growth,15,hsv-primary
188,6.233,71.49674362353579,Inconsistent Growth,13,hsv-primary
190,6.3,72.54772053647505,Inconsistent Growth,14,hsv-primary
192,6.367,72.86340437553253,Inconsistent Growth,14,hsv-primary
194,6.433,73.14438306287276,Inconsistent Growth,13,hsv-primary
196,6.5,70.88106814401092,Inconsistent Growth,16,hsv-primary
198,6.567,69.92674770080764,Inconsistent Growth,14,hsv-primary
200,6.633,69.58872339056533,Inconsistent Growth,18,hsv-primary
202,6.7,70.16210637339573,Inconsistent Growth,17,hsv-primary
204,6.767,69.543474461377,Inconsistent Growth,16,hsv-primary
206,6.833,69.5004321229639,Inconsistent Growth,17,hsv-primary
208,6.9,69.98030248607472,Inconsistent Growth,15,hsv-primary
210,6.967,70.2262117402523,Inconsistent Growth,15,hsv-primary
212,7.033,70.51834821817661,Inconsistent Growth,12,hsv-primary
214,7.1,69.82284375272363,Inconsistent Growth,10,hsv-primary
216,7.167,65.67599062690654,Inconsistent Growth,9,hsv-primary
218,7.233,64.45319343883457,Inconsistent Growth,13,hsv-primary
220,7.3,63.9272354071842,Inconsistent Growth,13,hsv-primary
222,7.367,63.16906478502894,Inconsistent Growth,10,hsv-primary
224,7.433,62.81834534952026,Inconsistent Growth,12,hsv-primary
226,7.5,62.452841744664184,Inconsistent Growth,12,hsv-primary
228,7.567,64.41698922126493,Inconsistent Growth,12,hsv-primary
230,7.633,64.14189245488545,Inconsistent Growth,9,hsv-primary
232,7.7,66.01932471841981,Bare Soil / Gap,11,hsv-primary
234,7.767,67.09352730289386,Bare Soil / Gap,14,hsv-primary
236,7.833,67.1254691120257,Bare Soil / Gap,13,hsv-primary
238,7.9,67.65782837841799,Bare Soil / Gap,11,hsv-primary
240,7.967,68.00047986489258,Bare Soil / Gap,10,hsv-primary
242,8.033,69.4103359054248,Bare Soil / Gap,12,hsv-primary
244,8.1,75.25723513379737,Bare Soil / Gap,11,hsv-primary
246,8.167,79.53006459365815,Bare Soil / Gap,10,hsv-primary
