frame,time_sec,fhi,class_dominant,n_dets,source_dominant
2,0.033,93.7,Lush Green,8,hsv-primary
4,0.1,94.06,Lush Green,6,hsv-primary
6,0.167,94.52199999999999,Lush Green,5,hsv-primary
8,0.233,94.93539999999999,Lush Green,6,hsv-primary
10,0.3,94.71477999999999,Lush Green,7,hsv-primary
12,0.367,94.83034599999999,Lush Green,7,hsv-primary
14,0.433,88.6412422,Inconsistent Growth,7,yolo-det
16,0.5,90.48886954,Lush Green,7,hsv-primary
18,0.567,90.97220867799999,Lush Green,11,hsv-primary
20,0.633,85.52054607459999,Inconsistent Growth,12,yolo-det
22,0.7,78.55438225222,Inconsistent Growth,11,yolo-det
24,0.767,76.618067576554,Inconsistent Growth,12,yolo-det
26,0.833,72.2326473035878,Inconsistent Growth,12,yolo-det
28,0.9,72.01285311251145,Inconsistent Growth,12,yolo-det
30,0.967,76.89899717875801,Lush Green,13,hsv-primary
32,1.033,80.79929802513061,Lush Green,15,hsv-primary
34,1.1,78.90950861759143,Inconsistent Growth,11,yolo-det
36,1.167,73.35665603231399,Inconsistent Growth,17,yolo-det
38,1.233,78.1696592226198,Lush Green,16,hsv-primary
40,1.3,80.87876145583385,Lush Green,14,hsv-primary
42,1.367,83.1651330190837,Lush Green,13,hsv-primary
44,1.433,86.02559311335858,Lush Green,12,hsv-primary
46,1.5,87.397915179351,Lush Green,14,hsv-primary
48,1.567,87.3085406255457,Lush Green,14,hsv-primary
50,1.633,87.93597843788199,Lush Green,14,hsv-primary
52,1.7,89.21518490651738,Lush Green,11,hsv-primary
54,1.767,89.78062943456216,Lush Green,11,hsv-primary
56,1.833,89.1564406041935,Lush Green,12,hsv-primary
58,1.9,90.30950842293545,Lush Green,10,hsv-primary
60,1.967,90.00665589605481,Lush Green,14,hsv-primary
62,2.033,89.61465912723835,Lush Green,11,hsv-primary
64,2.1,89.07026138906684,Lush Green,12,hsv-primary
66,2.167,89.76918297234678,Lush Green,8,hsv-primary
68,2.233,89.41842808064274,Lush Green,12,hsv-primary
70,2.3,88.72289965644991,Lush Green,13,hsv-primary
72,2.367,88.89602975951493,Lush Green,11,hsv-primary
74,2.433,80.34722083166045,Inconsistent Growth,14,yolo-det
76,2.5,83.15305458216231,Lush Green,9,hsv-primary
78,2.567,84.72713820751362,Lush Green,10,hsv-primary
80,2.633,86.93899674525953,Lush Green,7,hsv-primary
82,2.7,88.69729772168166,Lush Green,8,hsv-primary
84,2.767,89.74810840517716,Lush Green,9,hsv-primary
86,2.833,90.42367588362401,Lush Green,9,hsv-primary
88,2.9,90.26657311853681,Lush Green,9,hsv-primary
90,2.967,90.18660118297576,Lush Green,11,hsv-primary
92,3.033,89.41062082808303,Lush Green,11,hsv-primary
94,3.1,88.80743457965812,Lush Green,11,hsv-primary
96,3.167,88.35520420576069,Lush Green,11,hsv-primary
98,3.233,88.00864294403247,Lush Green,12,hsv-primary
100,3.3,87.52605006082273,Lush Green,11,hsv-primary
102,3.367,88.4182350425759,Lush Green,11,hsv-primary
104,3.433,88.83276452980311,Lush Green,10,hsv-primary
106,3.5,89.33293517086217,Lush Green,10,hsv-primary
108,3.567,89.50305461960352,Lush Green,11,hsv-primary
110,3.633,90.13213823372246,Lush Green,10,hsv-primary
112,3.7,89.52249676360572,Lush Green,10,hsv-primary
114,3.767,89.30574773452399,Lush Green,9,hsv-primary
116,3.833,89.12402341416679,Lush Green,8,hsv-primary
118,3.9,88.12681638991674,Lush Green,11,hsv-primary
120,3.967,87.57877147294171,Lush Green,10,hsv-primary
122,4.033,87.6151400310592,Lush Green,8,hsv-primary
124,4.1,86.86059802174144,Lush Green,11,hsv-primary
126,4.167,87.80241861521901,Lush Green,10,hsv-primary
128,4.233,88.6416930306533,Lush Green,10,hsv-primary
130,4.3,87.15918512145731,Lush Green,10,hsv-primary
132,4.367,88.55142958502012,Lush Green,10,hsv-primary
134,4.433,87.54600070951408,Lush Green,11,hsv-primary
136,4.5,85.70220049665986,Lush Green,12,hsv-primary
138,4.567,83.9315403476619,Lush Green,14,hsv-primary
140,4.633,82.42207824336333,Lush Green,15,hsv-primary
142,4.7,81.84545477035432,Lush Green,12,hsv-primary
144,4.767,80.57181833924803,Lush Green,12,hsv-primary
146,4.833,79.50027283747362,Lush Green,12,hsv-primary
148,4.9,78.45019098623153,Lush Green,12,hsv-primary
150,4.967,78.43513369036206,Lush Green,13,hsv-primary
152,5.033,77.31459358325344,Inconsistent Growth,12,hsv-primary
154,5.1,74.4602155082774,Inconsistent Growth,12,hsv-primary
156,5.167,72.19215085579418,Inconsistent Growth,12,hsv-primary
158,5.233,70.69450559905593,Inconsistent Growth,11,hsv-primary
160,5.3,72.04615391933915,Inconsistent Growth,13,hsv-primary
162,5.367,71.0723077435374,Inconsistent Growth,13,hsv-primary
164,5.433,72.22061542047618,Inconsistent Growth,14,hsv-primary
166,5.5,73.26443079433332,Inconsistent Growth,15,hsv-primary
168,5.567,71.95510155603333,Inconsistent Growth,10,hsv-primary
170,5.633,71.36857108922332,Inconsistent Growth,13,hsv-primary
172,5.7,69.99799976245632,Inconsistent Growth,11,hsv-primary
174,5.767,71.40859983371942,Inconsistent Growth,12,hsv-primary
176,5.833,70.26601988360359,Inconsistent Growth,10,hsv-primary
178,5.9,67.48621391852251,Inconsistent Growth,11,hsv-primary
180,5.967,69.44034974296575,Inconsistent Growth,14,hsv-primary
182,6.033,70.38824482007603,Inconsistent Growth,11,hsv-primary
184,6.1,71.20177137405321,Inconsistent Growth,12,hsv-primary
186,6.167,69.13123996183725,Inconsistent Growth,14,hsv-primary
188,6.233,67.89186797328608,Inconsistent Growth,11,hsv-primary
190,6.3,70.29430758130026,Inconsistent Growth,14,hsv-primary
192,6.367,71.28601530691017,Inconsistent Growth,14,hsv-primary
194,6.433,71.89021071483711,Inconsistent Growth,12,hsv-primary
196,6.5,69.58314750038598,Inconsistent Growth,12,hsv-primary
198,6.567,70.45820325027017,Inconsistent Growth,12,hsv-primary
200,6.633,68.94074227518912,Inconsistent Growth,15,hsv-primary
202,6.7,68.77851959263238,Inconsistent Growth,16,hsv-primary
204,6.767,67.19496371484266,Inconsistent Growth,12,hsv-primary
206,6.833,68.18647460038986,Inconsistent Growth,14,hsv-primary
208,6.9,66.6905322202729,Inconsistent Growth,13,hsv-primary
210,6.967,66.93337255419102,Inconsistent Growth,14,hsv-primary
212,7.033,67.25336078793372,Inconsistent Growth,11,hsv-primary
214,7.1,67.5373525515536,Inconsistent Growth,10,hsv-primary
216,7.167,69.92614678608751,Inconsistent Growth,10,hsv-primary
218,7.233,65.92830275026125,Inconsistent Growth,12,hsv-primary
220,7.3,66.78981192518287,Inconsistent Growth,13,hsv-primary
222,7.367,67.33286834762801,Inconsistent Growth,10,hsv-primary
224,7.433,66.3330078433396,Inconsistent Growth,11,hsv-primary
226,7.5,63.20310549033772,Inconsistent Growth,11,hsv-primary
228,7.567,65.0921738432364,Inconsistent Growth,11,hsv-primary
230,7.633,65.03452169026548,Inconsistent Growth,7,hsv-primary
232,7.7,65.41416518318583,Bare Soil / Gap,10,hsv-primary
234,7.767,66.87991562823008,Bare Soil / Gap,13,hsv-primary
236,7.833,67.21594093976105,Bare Soil / Gap,12,hsv-primary
238,7.9,67.72115865783275,Bare Soil / Gap,11,hsv-primary
240,7.967,69.18481106048291,Bare Soil / Gap,10,hsv-primary
242,8.033,69.48936774233803,Bare Soil / Gap,11,hsv-primary
244,8.1,75.31255741963662,Bare Soil / Gap,11,hsv-primary
246,8.167,79.56879019374563,Bare Soil / Gap,10,hsv-primary
248,8.233,83.23815313562193,Lush Green,10,hsv-primary
