t,area,hsv_class,hsv_conf,yolo_class,yolo_conf,fused_class,fused_conf,agree
0.0,102377,healthy_crop,0.629,healthy_crop,0.629,healthy_crop,0.629,1
0.0,90000,healthy_crop,0.628,healthy_crop,0.628,healthy_crop,0.628,1
0.0,24686,healthy_crop,0.567,healthy_crop,0.567,healthy_crop,0.567,1
0.0,20619,drought_stress,0.549,drought_stress,0.549,drought_stress,0.549,1
0.0,15771,healthy_crop,0.541,healthy_crop,0.541,healthy_crop,0.541,1
0.0,15268,bare_soil,0.708,bare_soil,0.708,bare_soil,0.708,1
0.0,8056,healthy_crop,0.569,healthy_crop,0.569,healthy_crop,0.569,1
0.0,6355,healthy_crop,0.639,healthy_crop,0.639,healthy_crop,0.639,1
0.0,5764,drought_stress,0.533,drought_stress,0.533,drought_stress,0.533,1
0.0,5489,healthy_crop,0.504,healthy_crop,0.504,healthy_crop,0.504,1
0.0,5338,healthy_crop,0.573,healthy_crop,0.573,healthy_crop,0.573,1
0.0,4818,bare_soil,0.705,bare_soil,0.705,bare_soil,0.705,1
0.0,4613,bare_soil,0.691,bare_soil,0.691,bare_soil,0.691,1
0.0,3975,healthy_crop,0.51,healthy_crop,0.51,healthy_crop,0.51,1
0.0,3569,healthy_crop,0.528,healthy_crop,0.528,healthy_crop,0.528,1
0.0,3552,drought_stress,0.522,drought_stress,0.522,drought_stress,0.522,1
0.0,3497,drought_stress,0.51,drought_stress,0.51,drought_stress,0.51,1
0.0,3094,healthy_crop,0.618,healthy_crop,0.618,healthy_crop,0.618,1
0.0,2674,healthy_crop,0.464,healthy_crop,0.464,healthy_crop,0.464,1
0.0,2218,healthy_crop,0.549,healthy_crop,0.549,healthy_crop,0.549,1
0.0,2069,healthy_crop,0.576,healthy_crop,0.576,healthy_crop,0.576,1
0.0,1991,stressed_crop,0.519,stressed_crop,0.519,stressed_crop,0.519,1
0.0,1742,healthy_crop,0.575,healthy_crop,0.575,healthy_crop,0.575,1
0.0,1737,stressed_crop,0.54,stressed_crop,0.54,stressed_crop,0.54,1
0.0,1688,drought_stress,0.506,drought_stress,0.506,drought_stress,0.506,1
0.0,1645,bare_soil,0.7,bare_soil,0.7,bare_soil,0.7,1
0.0,1581,healthy_crop,0.528,healthy_crop,0.528,healthy_crop,0.528,1
0.0,1408,drought_stress,0.501,drought_stress,0.501,drought_stress,0.501,1
0.1,102703,healthy_crop,0.63,healthy_crop,0.63,healthy_crop,0.63,1
0.1,90432,healthy_crop,0.627,healthy_crop,0.627,healthy_crop,0.627,1
0.1,24859,healthy_crop,0.557,healthy_crop,0.557,healthy_crop,0.557,1
0.1,20430,drought_stress,0.55,drought_stress,0.55,drought_stress,0.55,1
0.1,15713,bare_soil,0.711,bare_soil,0.711,bare_soil,0.711,1
0.1,11220,healthy_crop,0.549,healthy_crop,0.549,healthy_crop,0.549,1
0.1,8120,healthy_crop,0.573,healthy_crop,0.573,healthy_crop,0.573,1
0.1,6675,healthy_crop,0.631,healthy_crop,0.631,healthy_crop,0.631,1
0.1,6405,healthy_crop,0.502,healthy_crop,0.502,healthy_crop,0.502,1
0.1,5849,drought_stress,0.532,drought_stress,0.532,drought_stress,0.532,1
0.1,5679,bare_soil,0.687,bare_soil,0.687,bare_soil,0.687,1
0.1,5245,healthy_crop,0.579,healthy_crop,0.579,healthy_crop,0.579,1
0.1,4540,healthy_crop,0.527,healthy_crop,0.527,healthy_crop,0.527,1
0.1,4018,bare_soil,0.704,bare_soil,0.704,bare_soil,0.704,1
0.1,3717,drought_stress,0.525,drought_stress,0.525,drought_stress,0.525,1
0.1,3643,healthy_crop,0.524,healthy_crop,0.524,healthy_crop,0.524,1
0.1,3443,healthy_crop,0.512,healthy_crop,0.512,healthy_crop,0.512,1
0.1,3320,drought_stress,0.508,drought_stress,0.508,drought_stress,0.508,1
0.1,2991,healthy_crop,0.622,healthy_crop,0.622,healthy_crop,0.622,1
0.1,2733,healthy_crop,0.47,healthy_crop,0.47,healthy_crop,0.47,1
0.1,2650,bare_soil,0.707,bare_soil,0.707,bare_soil,0.707,1
0.1,2062,healthy_crop,0.578,healthy_crop,0.578,healthy_crop,0.578,1
0.1,1978,bare_soil,0.694,bare_soil,0.694,bare_soil,0.694,1
0.1,1976,stressed_crop,0.52,stressed_crop,0.52,stressed_crop,0.52,1
0.1,1933,healthy_crop,0.55,healthy_crop,0.55,healthy_crop,0.55,1
0.1,1754,drought_stress,0.51,drought_stress,0.51,drought_stress,0.51,1
0.1,1676,healthy_crop,0.571,healthy_crop,0.571,healthy_crop,0.571,1
0.1,1634,stressed_crop,0.537,stressed_crop,0.537,stressed_crop,0.537,1
0.1,1594,stressed_crop,0.521,stressed_crop,0.521,stressed_crop,0.521,1
0.1,1547,healthy_crop,0.525,healthy_crop,0.525,healthy_crop,0.525,1
0.1,1418,drought_stress,0.499,drought_stress,0.499,drought_stress,0.499,1
0.1,1393,bare_soil,0.671,bare_soil,0.671,bare_soil,0.671,1
0.2,103181,healthy_crop,0.63,healthy_crop,0.63,healthy_crop,0.63,1
0.2,89058,healthy_crop,0.628,healthy_crop,0.628,healthy_crop,0.628,1
0.2,24796,healthy_crop,0.556,healthy_crop,0.556,healthy_crop,0.556,1
0.2,21375,bare_soil,0.708,bare_soil,0.708,bare_soil,0.708,1
0.2,20163,drought_stress,0.55,drought_stress,0.55,drought_stress,0.55,1
0.2,14342,healthy_crop,0.543,healthy_crop,0.543,healthy_crop,0.543,1
0.2,7937,healthy_crop,0.634,healthy_crop,0.634,healthy_crop,0.634,1
0.2,7760,healthy_crop,0.582,healthy_crop,0.582,healthy_crop,0.582,1
0.2,7106,healthy_crop,0.509,healthy_crop,0.509,healthy_crop,0.509,1
0.2,5976,drought_stress,0.53,drought_stress,0.53,drought_stress,0.53,1
0.2,5310,healthy_crop,0.575,healthy_crop,0.575,healthy_crop,0.575,1
0.2,4765,bare_soil,0.696,bare_soil,0.696,bare_soil,0.696,1
0.2,4503,drought_stress,0.521,drought_stress,0.521,drought_stress,0.521,1
0.2,3821,bare_soil,0.713,bare_soil,0.713,bare_soil,0.713,1
0.2,3668,healthy_crop,0.527,healthy_crop,0.527,healthy_crop,0.527,1
0.2,3301,drought_stress,0.505,drought_stress,0.505,drought_stress,0.505,1
0.2,2967,healthy_crop,0.625,healthy_crop,0.625,healthy_crop,0.625,1
0.2,2792,healthy_crop,0.483,healthy_crop,0.483,healthy_crop,0.483,1
0.2,2484,bare_soil,0.705,bare_soil,0.705,bare_soil,0.705,1
0.2,2131,healthy_crop,0.58,healthy_crop,0.58,healthy_crop,0.58,1
0.2,2075,stressed_crop,0.521,stressed_crop,0.521,stressed_crop,0.521,1
0.2,1904,bare_soil,0.691,bare_soil,0.691,bare_soil,0.691,1
0.2,1898,stressed_crop,0.537,stressed_crop,0.537,stressed_crop,0.537,1
0.2,1846,healthy_crop,0.511,healthy_crop,0.511,healthy_crop,0.511,1
0.2,1813,healthy_crop,0.553,healthy_crop,0.553,healthy_crop,0.553,1
0.2,1710,drought_stress,0.508,drought_stress,0.508,drought_stress,0.508,1
0.2,1669,stressed_crop,0.521,stressed_crop,0.521,stressed_crop,0.521,1
0.2,1629,healthy_crop,0.506,healthy_crop,0.506,healthy_crop,0.506,1
0.2,1569,healthy_crop,0.515,healthy_crop,0.515,healthy_crop,0.515,1
0.2,1496,healthy_crop,0.581,healthy_crop,0.581,healthy_crop,0.581,1
0.3,105496,healthy_crop,0.63,healthy_crop,0.63,healthy_crop,0.63,1
0.3,90627,healthy_crop,0.627,healthy_crop,0.627,healthy_crop,0.627,1
0.3,25890,healthy_crop,0.557,healthy_crop,0.557,healthy_crop,0.557,1
0.3,19991,drought_stress,0.549,drought_stress,0.549,drought_stress,0.549,1
0.3,19687,bare_soil,0.708,bare_soil,0.708,bare_soil,0.708,1
0.3,11293,healthy_crop,0.553,healthy_crop,0.553,healthy_crop,0.553,1
0.3,7612,healthy_crop,0.605,healthy_crop,0.605,healthy_crop,0.605,1
0.3,7290,healthy_crop,0.636,healthy_crop,0.636,healthy_crop,0.636,1
0.3,7000,drought_stress,0.527,drought_stress,0.527,drought_stress,0.527,1
0.3,6995,healthy_crop,0.508,healthy_crop,0.508,healthy_crop,0.508,1
0.3,5221,healthy_crop,0.569,healthy_crop,0.569,healthy_crop,0.569,1
0.3,4923,drought_stress,0.519,drought_stress,0.519,drought_stress,0.519,1
0.3,4107,bare_soil,0.697,bare_soil,0.697,bare_soil,0.697,1
0.3,3984,healthy_crop,0.528,healthy_crop,0.528,healthy_crop,0.528,1
0.3,3710,bare_soil,0.713,bare_soil,0.713,bare_soil,0.713,1
0.3,3244,drought_stress,0.505,drought_stress,0.505,drought_stress,0.505,1
0.3,2882,healthy_crop,0.62,healthy_crop,0.62,healthy_crop,0.62,1
0.3,2806,healthy_crop,0.483,healthy_crop,0.483,healthy_crop,0.483,1
0.3,2472,bare_soil,0.697,bare_soil,0.697,bare_soil,0.697,1
0.3,2337,healthy_crop,0.499,healthy_crop,0.499,healthy_crop,0.499,1
0.3,2197,healthy_crop,0.577,healthy_crop,0.577,healthy_crop,0.577,1
0.3,2128,stressed_crop,0.525,stressed_crop,0.525,stressed_crop,0.525,1
0.3,1785,healthy_crop,0.554,healthy_crop,0.554,healthy_crop,0.554,1
0.3,1749,drought_stress,0.509,drought_stress,0.509,drought_stress,0.509,1
0.3,1692,stressed_crop,0.536,stressed_crop,0.536,stressed_crop,0.536,1
0.3,1663,healthy_crop,0.51,healthy_crop,0.51,healthy_crop,0.51,1
0.3,1617,bare_soil,0.705,bare_soil,0.705,bare_soil,0.705,1
0.3,1452,healthy_crop,0.572,healthy_crop,0.572,healthy_crop,0.572,1
0.3,1440,stressed_crop,0.522,stressed_crop,0.522,stressed_crop,0.522,1
0.4,107495,healthy_crop,0.629,healthy_crop,0.629,healthy_crop,0.629,1
0.4,93982,healthy_crop,0.626,healthy_crop,0.626,healthy_crop,0.626,1
0.4,35815,healthy_crop,0.568,healthy_crop,0.568,healthy_crop,0.568,1
0.4,21331,bare_soil,0.705,bare_soil,0.705,bare_soil,0.705,1
0.4,19479,drought_stress,0.547,drought_stress,0.547,drought_stress,0.547,1
0.4,12962,healthy_crop,0.543,healthy_crop,0.543,healthy_crop,0.543,1
0.4,8172,healthy_crop,0.644,healthy_crop,0.644,healthy_crop,0.644,1
0.4,7016,healthy_crop,0.51,healthy_crop,0.51,healthy_crop,0.51,1
0.4,5698,drought_stress,0.524,drought_stress,0.524,drought_stress,0.524,1
0.4,5443,drought_stress,0.518,drought_stress,0.518,drought_stress,0.518,1
0.4,4970,healthy_crop,0.572,healthy_crop,0.572,healthy_crop,0.572,1
0.4,4391,bare_soil,0.684,bare_soil,0.684,bare_soil,0.684,1
0.4,4010,healthy_crop,0.535,healthy_crop,0.535,healthy_crop,0.535,1
0.4,3412,bare_soil,0.695,bare_soil,0.695,bare_soil,0.695,1
0.4,2948,drought_stress,0.508,drought_stress,0.508,drought_stress,0.508,1
0.4,2907,bare_soil,0.693,bare_soil,0.693,bare_soil,0.693,1
0.4,2888,healthy_crop,0.627,healthy_crop,0.627,healthy_crop,0.627,1
0.4,2763,bare_soil,0.693,bare_soil,0.693,bare_soil,0.693,1
0.4,2554,healthy_crop,0.509,healthy_crop,0.509,healthy_crop,0.509,1
0.4,2280,healthy_crop,0.49,healthy_crop,0.49,healthy_crop,0.49,1
0.4,2256,healthy_crop,0.587,healthy_crop,0.587,healthy_crop,0.587,1
0.4,2048,stressed_crop,0.521,stressed_crop,0.521,stressed_crop,0.521,1
0.4,1520,stressed_crop,0.538,stressed_crop,0.538,stressed_crop,0.538,1
0.4,1503,healthy_crop,0.513,healthy_crop,0.513,healthy_crop,0.513,1
0.4,1404,healthy_crop,0.58,healthy_crop,0.58,healthy_crop,0.58,1
0.5,113669,healthy_crop,0.626,healthy_crop,0.626,healthy_crop,0.626,1
0.5,93177,healthy_crop,0.626,healthy_crop,0.626,healthy_crop,0.626,1
0.5,40473,healthy_crop,0.573,healthy_crop,0.573,healthy_crop,0.573,1
0.5,26497,bare_soil,0.702,bare_soil,0.702,bare_soil,0.702,1
0.5,18785,drought_stress,0.544,drought_stress,0.544,drought_stress,0.544,1
0.5,11219,healthy_crop,0.541,healthy_crop,0.541,healthy_crop,0.541,1
0.5,7386,healthy_crop,0.502,healthy_crop,0.502,healthy_crop,0.502,1
0.5,6760,healthy_crop,0.645,healthy_crop,0.645,healthy_crop,0.645,1
