t,area,hsv_class,hsv_conf,yolo_class,yolo_conf,fused_class,fused_conf,agree
0.0,74335,bare_soil,0.682,drought_stress,0.787,drought_stress,0.42,0
0.0,55449,healthy_crop,0.549,stressed_crop,0.752,healthy_crop,0.549,0
0.0,21653,healthy_crop,0.616,healthy_crop,0.791,healthy_crop,0.831,1
0.0,9669,bare_soil,0.689,bare_soil,0.822,bare_soil,0.863,1
0.0,6544,healthy_crop,0.461,stressed_crop,0.517,healthy_crop,0.461,0
0.0,5530,healthy_crop,0.523,healthy_crop,0.792,healthy_crop,0.832,1
0.0,5332,bare_soil,0.496,bare_soil,0.496,bare_soil,0.496,1
0.0,4795,healthy_crop,0.556,bare_soil,0.852,bare_soil,0.852,0
0.0,3423,healthy_crop,0.473,healthy_crop,0.473,healthy_crop,0.473,1
0.0,3362,healthy_crop,0.601,bare_soil,0.872,bare_soil,0.872,0
0.0,3103,healthy_crop,0.504,stressed_crop,0.492,healthy_crop,0.504,0
0.0,2831,healthy_crop,0.497,bare_soil,0.985,bare_soil,0.985,0
0.0,2716,healthy_crop,0.536,healthy_crop,0.726,healthy_crop,0.762,1
0.0,2609,healthy_crop,0.586,bare_soil,0.988,bare_soil,0.988,0
0.0,2521,stressed_crop,0.544,bare_soil,0.805,bare_soil,0.805,0
0.0,2464,bare_soil,0.5,bare_soil,0.5,bare_soil,0.5,1
0.0,2351,bare_soil,0.472,healthy_crop,0.707,healthy_crop,0.421,0
0.0,2182,healthy_crop,0.515,drought_stress,0.544,healthy_crop,0.411,0
0.0,1863,bare_soil,0.447,bare_soil,0.447,bare_soil,0.447,1
0.0,1809,bare_soil,0.608,bare_soil,0.995,bare_soil,1.0,1
0.0,1780,bare_soil,0.44,stressed_crop,0.527,stressed_crop,0.318,0
0.0,1766,healthy_crop,0.471,healthy_crop,0.471,healthy_crop,0.471,1
0.0,1760,bare_soil,0.462,bare_soil,0.462,bare_soil,0.462,1
0.0,1724,healthy_crop,0.445,healthy_crop,0.721,healthy_crop,0.757,1
0.0,1716,bare_soil,0.658,healthy_crop,0.869,healthy_crop,0.476,0
0.0,1669,healthy_crop,0.479,healthy_crop,0.479,healthy_crop,0.479,1
0.0,1638,stressed_crop,0.514,healthy_crop,0.545,healthy_crop,0.336,0
0.0,1619,bare_soil,0.462,healthy_crop,0.6,healthy_crop,0.357,0
0.0,1614,healthy_crop,0.479,bare_soil,0.997,bare_soil,0.997,0
0.0,1598,bare_soil,0.46,bare_soil,0.46,bare_soil,0.46,1
0.0,1588,bare_soil,0.474,bare_soil,0.474,bare_soil,0.474,1
0.0,1570,bare_soil,0.605,bare_soil,0.86,bare_soil,0.903,1
0.0,1484,bare_soil,0.461,bare_soil,0.461,bare_soil,0.461,1
0.0,1441,bare_soil,0.462,stressed_crop,0.524,stressed_crop,0.312,0
0.0,1404,bare_soil,0.467,stressed_crop,0.505,stressed_crop,0.3,0
0.5,67086,bare_soil,0.694,healthy_crop,0.8,healthy_crop,0.425,0
0.5,35494,healthy_crop,0.539,bare_soil,0.712,healthy_crop,0.336,0
0.5,13895,bare_soil,0.7,healthy_crop,0.581,bare_soil,0.489,0
0.5,11707,healthy_crop,0.485,healthy_crop,0.834,healthy_crop,0.876,1
