frame,t_sec,fhi,regions,confirmed,hsv_primary,review,negative
1,0.0,97.4,7,0,3,4,0
11,0.33,98.1,7,0,3,4,0
21,0.67,98.5,8,0,4,4,0
31,1.0,98.6,8,0,3,5,0
41,1.33,98.7,6,0,2,4,0
51,1.67,98.7,8,0,2,6,0
61,2.0,98.7,5,0,2,3,0
71,2.33,98.8,8,0,3,5,0
81,2.67,98.9,6,0,2,4,0
91,3.0,98.8,7,0,2,5,0
101,3.33,99.1,5,0,2,3,0
111,3.67,99.3,7,0,4,3,0
121,4.0,98.3,4,0,2,2,0
131,4.33,98.2,6,0,3,3,0
141,4.67,99.4,7,0,3,4,0
151,5.0,98.8,6,0,2,4,0
161,5.33,99.0,7,0,3,4,0
171,5.67,99.1,8,0,4,4,0
181,6.0,98.7,8,0,4,4,0
191,6.33,98.9,8,0,5,3,0
201,6.67,98.7,9,0,4,5,0
211,7.0,97.7,8,0,4,4,0
221,7.33,97.9,10,0,4,6,0
231,7.67,97.9,12,0,5,7,0
241,8.0,97.8,9,0,2,7,0
251,8.33,97.5,11,0,3,8,0
261,8.67,97.3,9,0,2,7,0
271,9.0,96.9,5,0,0,5,0
281,9.33,96.9,3,0,1,2,0
291,9.67,96.9,4,0,1,3,0
301,10.0,97.1,2,0,0,2,0
311,10.33,96.6,3,0,0,3,0
321,10.67,96.5,7,0,3,4,0
331,11.0,94.7,7,0,1,6,0
341,11.33,94.6,7,0,1,6,0
351,11.67,93.9,13,0,5,8,0
361,12.0,94.0,9,0,3,6,0
371,12.33,92.3,10,0,3,7,0
381,12.67,91.7,10,0,3,7,0
391,13.0,89.8,9,0,4,5,0
401,13.33,88.6,9,0,4,5,0
411,13.67,86.8,7,0,2,5,0
421,14.0,86.8,6,0,2,4,0
431,14.33,86.1,6,0,3,3,0
441,14.67,85.3,8,0,3,5,0
451,15.0,85.6,9,0,5,4,0
461,15.33,85.4,7,0,1,6,0
471,15.67,85.8,8,0,4,4,0
481,16.0,85.9,6,0,4,2,0
491,16.33,87.7,7,0,4,3,0
501,16.67,88.8,10,0,4,6,0
511,17.0,89.2,5,0,4,1,0
521,17.33,90.1,5,0,4,1,0
531,17.67,90.7,7,0,4,3,0
541,18.0,89.6,6,0,3,3,0
551,18.33,90.2,7,0,4,3,0
561,18.67,89.2,9,0,3,6,0
571,19.0,85.5,8,0,3,5,0
581,19.33,83.8,9,0,2,7,0
591,19.67,83.3,5,0,2,3,0
601,20.0,97.1,5,0,4,1,0
611,20.33,96.2,6,0,3,3,0
621,20.67,95.3,5,0,3,2,0
631,21.0,94.7,5,0,3,2,0
641,21.33,93.6,5,0,3,2,0
651,21.67,92.0,3,0,2,1,0
661,22.0,92.7,4,0,3,1,0
671,22.33,92.1,5,0,4,1,0
681,22.67,92.1,5,0,4,1,0
691,23.0,93.3,5,0,4,1,0
701,23.33,94.2,5,0,3,2,0
711,23.67,93.7,11,0,5,6,0
721,24.0,94.6,11,0,6,5,0
731,24.33,94.7,11,0,6,5,0
741,24.67,94.3,9,0,5,4,0
751,25.0,95.1,8,0,6,2,0
761,25.33,94.7,12,0,6,6,0
771,25.67,95.9,8,0,4,4,0
781,26.0,95.9,12,0,7,5,0
791,26.33,96.0,12,0,4,8,0
801,26.67,97.0,10,0,4,6,0
811,27.0,96.6,8,0,4,4,0
821,27.33,97.1,6,0,2,4,0
831,27.67,97.6,6,0,2,4,0
841,28.0,97.1,8,0,2,6,0
851,28.33,97.2,6,0,2,4,0
861,28.67,96.5,5,0,1,4,0
871,29.0,95.6,5,0,1,4,0
881,29.33,96.0,6,0,2,4,0
891,29.67,94.2,6,0,2,4,0
901,30.0,94.6,6,0,4,2,0
911,30.33,92.8,7,0,5,2,0
921,30.67,91.6,2,0,2,0,0
931,31.0,90.7,2,0,2,0,0
941,31.33,90.4,3,0,2,1,0
951,31.67,90.3,3,0,2,1,0
961,32.0,89.6,3,0,3,0,0
971,32.33,89.5,3,0,3,0,0
981,32.67,90.2,2,0,2,0,0
991,33.0,89.7,2,0,2,0,0
1001,33.33,90.2,3,0,3,0,0
1011,33.67,91.9,4,0,2,2,0
1021,34.0,92.9,4,0,2,2,0
1031,34.33,93.5,4,0,2,2,0
1041,34.67,94.2,3,0,2,1,0
1051,35.0,95.4,3,0,2,1,0
1061,35.33,96.0,5,0,3,2,0
1071,35.67,96.6,5,0,2,3,0
1081,36.0,97.0,5,0,3,2,0
1091,36.33,97.8,5,0,3,2,0
1101,36.67,97.8,6,0,5,1,0
1111,37.0,98.0,6,0,5,1,0
1121,37.33,98.8,6,0,6,0,0
1131,37.67,98.3,5,0,5,0,0
1141,38.0,97.9,5,0,4,1,0
1151,38.33,98.0,7,0,6,1,0
1161,38.67,97.3,5,0,4,1,0
1171,39.0,96.9,6,0,4,2,0
1181,39.33,95.5,9,0,4,5,0
1191,39.67,95.5,6,0,2,4,0
1201,40.0,95.4,7,0,4,3,0
1211,40.33,93.7,9,0,4,5,0
1221,40.67,94.5,8,0,4,4,0
1231,41.0,93.0,11,0,5,6,0
1241,41.33,93.8,10,0,5,5,0
1251,41.67,95.7,10,0,5,5,0
1261,42.0,95.4,10,0,4,6,0
1271,42.33,96.5,10,0,5,5,0
1281,42.67,97.9,8,0,4,4,0
1291,43.0,97.3,8,0,3,5,0
1301,43.33,97.0,11,0,5,6,0
1311,43.67,96.2,11,0,5,6,0
1321,44.0,97.7,11,0,5,6,0
1331,44.33,97.3,10,0,5,5,0
1341,44.67,96.4,10,0,5,5,0
1351,45.0,96.8,12,0,8,4,0
1361,45.33,98.0,12,0,8,4,0
1371,45.67,97.7,13,0,9,4,0
1381,46.0,97.0,10,0,8,2,0
1391,46.33,97.9,11,0,9,2,0
1401,46.67,98.2,9,0,8,1,0
1411,47.0,97.9,12,0,11,1,0
1421,47.33,98.4,7,0,5,2,0
1431,47.67,98.2,8,0,5,3,0
1441,48.0,98.0,8,0,6,2,0
1451,48.33,98.3,9,0,7,2,0
1461,48.67,98.4,9,0,7,2,0
1471,49.0,98.3,10,0,8,2,0
1481,49.33,98.7,10,0,8,2,0
1491,49.67,98.7,6,0,4,2,0
1501,50.0,98.7,6,0,3,3,0
1511,50.33,98.9,7,0,4,3,0
1521,50.67,98.8,7,0,4,3,0
1531,51.0,98.4,7,0,4,3,0
1541,51.33,98.1,8,0,4,4,0
1551,51.67,96.5,7,0,4,3,0
1561,52.0,93.6,9,0,4,5,0
1571,52.33,91.8,7,0,3,4,0
1581,52.67,87.8,8,0,4,4,0
1591,53.0,86.4,8,0,3,5,0
1601,53.33,85.4,8,0,3,5,0
1611,53.67,84.4,7,0,3,4,0
1621,54.0,85.1,6,0,2,4,0
1631,54.33,85.2,3,0,2,1,0
1641,54.67,87.3,3,0,2,1,0
